ID	Symbol	OSK_OE_D4	siMyc_D3	OSK_Myc_OE_D4	Myc_OE_D4	siMyc_D7	Myc_inh_D3	siControl_MEF_1	siControl_MEF_2	siControl_D7
ENSMUSG00000000126	Wnt9a	1.26598	15.9809	2.59419	1.93955	47.3076	1.59995	7.82317	9.4463	13.4975
ENSMUSG00000000127	Fer	11.2954	11.9651	7.72521	7.42194	13.8838	8.41126	17.9198	17.6325	15.1296
ENSMUSG00000000131	Xpo6	148	66.7812	69.136	73.7046	48.4235	99.3049	47.5481	35.0223	45.189
ENSMUSG00000000134	Tfe3	45.498	34.0843	65.5279	23.6128	60.3963	65.4517	31.6675	40.0652	55.1968
ENSMUSG00000000142	Axin2	1.60452	1.34202	0.160231	0.593338	18.2445	6.00565	4.73484	9.59463	12.2457
ENSMUSG00000000148	Brat1	4.67381	6.25585	6.6321	6.90304	6.80851	9.53731	6.95695	8.09964	8.11821
ENSMUSG00000000149	Gna12	38.5785	33.6249	30.259	16.7223	25.6931	36.1322	32.0318	30.4473	31.158
ENSMUSG00000000154	Slc22a18	0.431472	2.3131	1.87745	0.342741	2.73386	0.764281	1.0906	0.838299	4.50894
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0	0	0	0	1.45499e-07	3.67045e-07	8.35189e-08	4.69724e-08	0
ENSMUSG00000000167	Pih1d2	1.72365	1.04623	1.98069	2.29762	2.74343	1.21277	0.912494	1.57269	2.07494
ENSMUSG00000000168	Dlat	38.0771	29.2523	56.2885	77.6417	41.9061	25.9707	24.7843	27.0037	35.6772
ENSMUSG00000000171	Sdhd	131.841	72.1011	122.085	130.3	73.6729	35.7422	64.15	68.9201	77.4883
ENSMUSG00000000182	Fgf23	0.139175	0.114623	0.188058	0	0.174178	0.14743	0	0.102971	0.333236
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	165.178	69.092	197.76	102.519	66.2407	175.902	103.44	107.19	108.551
ENSMUSG00000000194	Gpr107	32.8308	29.304	24.0209	17.6004	55.1226	47.0618	40.7027	42.2053	43.6012
ENSMUSG00000000197	Nalcn	0.389048	0.0746203	0.106187	0.0237631	0.101242	0.214497	0.269835	0.207489	0.0688696
ENSMUSG00000000202	Btbd17	0	0.196491	0.0285922	0.0271938	0	0	0.0333828	0.137765	0.197033
ENSMUSG00000000204	Slfn4	0.00640198	0.0105323	0	0	0.0133372	0	0.0216172	0.00788367	0
ENSMUSG00000000214	Th	0	0	0.0266143	0.14928	0	0	0.0310735	0.0680087	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0.89322	0
ENSMUSG00000000216	Scnn1g	0.0803965	0.0396862	0.0620112	0	0.670068	0	0	0	0.640984
ENSMUSG00000000223	Drp2	6.77312	1.03599	1.67272	0.271465	0.919426	1.04678	1.16893	0.831299	1.93272
ENSMUSG00000000244	Tspan32	0.801304	1.1454	0.258346	0.0258574	0.642671	0.0506454	0.156078	0.311867	0.233546
ENSMUSG00000000247	Lhx2	0.238007	1.28441	0.444238	1.34592	1.32741	0.159295	4.08677	2.63983	1.34609
ENSMUSG00000000248	Clec2g	0.574104	0.0838189	0.165655	0	0.312102	0.477405	0.137625	0.0501932	0.135379
ENSMUSG00000000253	Gmpr	5.11116	7.8358	3.86815	8.73371	5.23317	6.98756	13.5127	13.5426	5.70388
ENSMUSG00000000263	Glra1	0.0562626	0	0.054304	0	0	0.0542779	0	0.0346887	0.0272515
ENSMUSG00000000266	Mid2	2.49109	1.93691	7.66602	1.23203	1.39589	5.71773	3.21571	2.71525	1.28335
ENSMUSG00000000275	Trim25	19.4474	7.7159	17.5707	14.442	18.349	4.91561	10.0317	7.47507	15.1472
ENSMUSG00000000276	Dgke	1.2687	0.942002	2.64824	2.69702	1.38885	1.70123	1.70217	1.12648	1.04405
ENSMUSG00000000278	Scpep1	57.4554	84.7896	33.2089	54.481	84.135	161.693	116.988	120.809	94.1725
ENSMUSG00000000282	Mnt	6.01334	5.68787	13.4671	12.857	7.53258	24.2366	8.72503	7.82479	8.87701
ENSMUSG00000000290	Itgb2	0.0609134	0.200537	0.201753	0.386281	0.45576	1.09831	1.28851	1.55066	1.11315
ENSMUSG00000000295	Hddc2	44.6907	26.2914	38.5842	43.4568	27.9759	16.6837	22.9705	23.8892	22.6789
ENSMUSG00000000296	Tpd52l1	4.30033	9.26544	6.25417	3.60385	5.43722	3.68625	4.83632	4.89315	3.53767
ENSMUSG00000000301	Pemt	6.07142	10.1412	9.01015	8.84024	10.7195	7.69691	3.56398	7.87356	7.50687
ENSMUSG00000000303	Cdh1	19.358	2.94729	28.2564	0.0137006	11.4391	0.429341	0.0867156	0.0130556	19.0271
ENSMUSG00000000305	Cdh4	2.70933	0.19063	0.159149	0.152078	0.41816	3.52977	1.08503	1.68895	0.909539
ENSMUSG00000000308	Ckmt1	3.22451	1.01713	16.5933	2.49898	7.34384	1.35531	0.482062	0.171988	13.568
ENSMUSG00000000317	Bcl6b	0.73696	0.652842	0.0136618	0.0519746	0.982967	2.49587	0.462582	0.401454	0.698824
ENSMUSG00000000318	Clec10a	0	0	0	0	0	0	0.106974	0	0
ENSMUSG00000000320	Alox12	0.124092	0.0922829	0.397194	0.234332	0.199922	0.615297	0.0901784	0.104695	0.191607
ENSMUSG00000000325	Arvcf	19.3286	9.82566	15.8891	13.3463	15.8075	13.1335	9.37268	11.8972	17.9805
ENSMUSG00000000326	Comt	41.4104	71.3315	79.1628	65.3377	83.1986	53.8083	66.5414	69.1088	82.5448
ENSMUSG00000000339	Rtca	55.935	41.0932	55.0548	40.6789	43.5171	22.2645	35.917	29.0884	33.7093
ENSMUSG00000000340	Dbt	6.59444	4.38902	11.2204	9.7934	6.7031	5.51883	6.01929	5.21449	7.45197
ENSMUSG00000000346	Dazap2	102.172	55.3162	105.891	100.864	74.1393	62.1939	76.4651	71.8856	84.3081
ENSMUSG00000000355	Mcts1	64.8142	38.659	60.4785	46.897	59.9402	22.7685	40.0069	36.3896	52.3071
ENSMUSG00000000359	Rem1	1.23842	4.86478	0.965996	6.07811	2.44248	0.047867	6.23631	8.18608	5.1295
ENSMUSG00000000365	Rnf17	0.362558	0.104333	0.262004	0.24919	0.0849334	0.167924	0.173345	0.16737	0.180549
ENSMUSG00000000374	Trappc10	13.5806	6.67078	9.78749	9.02055	11.4332	11.9974	8.35718	7.97199	12.7767
ENSMUSG00000000378	Ccm2	27.1861	40.8325	21.8254	26.8749	54.623	30.6134	49.7666	58.4768	40.8217
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	33.3036	22.1736	79.4275	78.9198	24.0903	30.8118	23.7064	26.7454	22.8426
ENSMUSG00000000385	Tmprss2	0	0.0124756	0.0438605	0	0.031596	0	0	0.0560368	0.0201497
ENSMUSG00000000386	Mx1	0.744476	0	0	0.0343977	0.132608	0.0714349	0.14368	0.0332403	0.173914
ENSMUSG00000000392	Fap	0.835183	3.21535	0.75121	1.24476	2.3269	1.42978	8.6031	7.03364	3.75217
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	110.116	66.4975	80.8336	90.7679	73.0739	34.7809	53.5422	55.1257	64.057
ENSMUSG00000000402	Egfl6	9.15983	0.265498	0.414851	0.14796	0.28017	4.2473	8.43592	7.44236	1.69144
ENSMUSG00000000409	Lck	8.41816	0.665995	0.927319	1.52068	1.57113	5.13659	4.74922	6.58757	3.65023
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0.110353	0	0	0
ENSMUSG00000000416	Cttnbp2	1.08412	0.174174	0.573313	0.0204326	0.363322	0.77964	1.49621	0.538374	2.528
ENSMUSG00000000420	Galnt1	44.2029	32.114	45.3861	36.8797	68.4247	22.2649	43.5413	36.3534	51.7739
ENSMUSG00000000435	Myf5	0	0	0.0230108	0	0	0	0	0.0293989	0
ENSMUSG00000000439	Mkrn2	13.5826	8.58829	8.76838	11.0345	9.28967	18.3361	11.9138	10.3636	10.7997
ENSMUSG00000000440	Pparg	0.0572661	3.05913	1.4129	2.31432	0.537593	5.7848	1.84005	1.404	0.304743
ENSMUSG00000000441	Raf1	70.8463	27.411	28.1047	30.5788	36.1868	34.4102	28.6691	29.3282	38.8502
ENSMUSG00000000486	Sept1	6.81774	2.31818	4.25933	1.96247	3.68213	3.3469	3.87185	4.23048	9.23169
ENSMUSG00000000489	Pdgfb	11.3601	5.36611	10.7144	0.242268	5.95223	0.961658	2.21196	2.60354	5.39766
ENSMUSG00000000530	Acvrl1	7.01045	3.77704	0.795941	0.848981	4.52927	14.0323	4.43845	9.55369	10.0389
ENSMUSG00000000531	Grasp	5.28487	10.7696	11.7365	12.2765	15.549	11.3486	8.70737	9.19228	10.542
ENSMUSG00000000532	Acvr1b	7.2843	3.16289	3.50988	1.9596	6.96995	5.06172	4.09796	4.44459	10.8306
ENSMUSG00000000538	Tom1l2	10.188	12.2978	15.5514	11.4699	23.6176	38.3284	17.5401	14.3834	19.5409
ENSMUSG00000000544	Gpa33	20.2622	1.97402	0.384354	0	10.697	0.117307	0	0	16.3644
ENSMUSG00000000552	Zfp385a	14.1506	49.7362	67.3376	45.684	57.7667	43.2091	26.8919	26.0926	43.8288
ENSMUSG00000000555	Itga5	19.535	159.802	11.4298	14.9535	46.4404	79.0989	54.2006	56.2045	48.4128
ENSMUSG00000000560	Gabra2	0.143371	0.606857	2.84472	0.0187888	1.21675	0	0.0461298	0.0757176	0.217812
ENSMUSG00000000561	Wdr77	41.1299	25.9332	100.524	96.9819	27.0776	23.0514	23.0119	22.7432	32.7528
ENSMUSG00000000562	Adora3	0	0	0	0	0	0	0	0	0
ENSMUSG00000000563	Atp5f1	150.004	108.019	148.053	156.264	117.701	53.8822	101.17	101.005	101.286
ENSMUSG00000000567	Sox9	1.65297	2.58746	0.494389	1.35838	2.99161	16.2032	7.28584	6.94802	3.75512
ENSMUSG00000000568	Hnrnpd	460.101	153.602	280.658	463.348	103.629	63.5304	183.126	181.042	95.0323
ENSMUSG00000000579	Dynlt1c	27.362	14.4704	9.97389	15.4175	15.1601	11.6062	19.895	20.2133	19.3322
ENSMUSG00000000581	C1d	94.2297	45.8151	40.9635	54.3007	57.0142	23.5528	55.7503	56.7761	47.7537
ENSMUSG00000000594	Gm2a	7.2993	12.757	6.4732	3.51806	19.3662	16.1455	15.8225	15.1762	18.6015
ENSMUSG00000000600	Krit1	6.99096	5.51268	6.3654	6.8147	8.99875	8.92341	6.38737	6.31236	6.65279
ENSMUSG00000000605	Clcn4-2	7.01794	9.67128	7.06882	5.95313	15.0792	9.84326	10.3914	10.671	11.0214
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0	0.019635	0	0
ENSMUSG00000000617	Grm6	0	0	0	0.0132492	0	0	0	0	0
ENSMUSG00000000627	Sema4f	1.49298	0.541143	0.122378	0.0423245	1.51823	1.543	1.14737	1.33344	1.1653
ENSMUSG00000000628	Hk2	76.3882	24.364	29.9998	19.1599	15.787	17.2727	9.44462	15.5899	13.7079
ENSMUSG00000000631	Myo18a	28.1638	16.8071	5.791	3.06721	21.3657	24.6278	11.9143	12.2457	34.27
ENSMUSG00000000632	Sez6	6.24461	0.408663	0.0711037	0.0203042	0.835051	1.30927	0.358385	0.434368	9.73231
ENSMUSG00000000673	Haao	0.044024	0	0	0	0	0.058325	0.0993635	0.0543652	0
ENSMUSG00000000682	Cd52	9.28369e-05	0	0	0	0	0.19222	5.92855	5.48867	0.690993
ENSMUSG00000000686	Abhd15	0.182316	0.395014	0.580284	0.267543	0.809215	0.418152	0.282983	0.32162	0.281512
ENSMUSG00000000690	Hoxb6	2.91214	15.5882	2.50434	4.82817	15.6103	11.4153	7.75638	9.58034	10.9231
ENSMUSG00000000693	Loxl3	14.0473	26.6711	16.5194	6.3898	20.8987	17.5531	34.4975	30.9287	22.9392
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	3.36675	0.343533	4.73155	0.0510962	6.35626	0.0184254	0.015668	0	1.65901
ENSMUSG00000000708	Kat2b	16.2334	7.6272	9.77075	5.23619	12.5236	13.3158	14.7572	13.7482	16.974
ENSMUSG00000000711	Rab5b	35.9018	34.8178	18.8154	9.96025	57.668	43.5643	32.6368	32.294	55.2035
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0	0.175827	0	0
ENSMUSG00000000730	Dnmt3l	0	0.0406821	0.477151	1.51742	2.70498	1.35147	0.333995	0.487312	3.71427
ENSMUSG00000000731	Aire	0	0	0	0.0964839	0	0	0.142665	0.548654	0
ENSMUSG00000000732	Icosl	0.298521	0.158937	0.0169327	0.32209	0.311045	0.302174	0.316316	0.324501	0.840126
ENSMUSG00000000751	Rpa1	68.9298	46.4051	53.4418	79.4919	47.8191	17.4442	42.8668	42.6781	41.12
ENSMUSG00000000753	Serpinf1	160.817	627.915	97.4953	567.96	726.375	1200.23	1074.54	1064.32	1033.47
ENSMUSG00000000759	Tubgcp3	32.6438	11.787	18.7243	21.1571	12.3679	12.428	10.3389	10.9662	13.976
ENSMUSG00000000766	Oprm1	0	0	0	0	0.0254621	0	0	0.0425674	0.0324759
ENSMUSG00000000776	Polr3d	14.9044	27.433	33.3151	29.3958	26.4283	18.8213	28.3499	24.5479	31.8811
ENSMUSG00000000782	Tcf7	3.59773	2.57413	0.953265	9.6642	5.13018	2.07249	4.4548	4.6128	4.77172
ENSMUSG00000000787	Ddx3x	90.8991	53.8441	141.069	179.196	84.8119	86.4698	80.8876	73.4696	70.1457
ENSMUSG00000000791	Il12rb1	0.0839511	0.0828869	0.307596	0.338744	0.157441	0.222246	0.245723	0.268887	0.0892489
ENSMUSG00000000792	Slc5a5	0.0493536	0.108281	0.0317238	0.0150861	0.0685589	0.108878	0.0740781	0.0405307	0.196749
ENSMUSG00000000794	Kcnn3	0.0836065	0.0412731	0.0483681	0	0.418117	0.74095	0.0752962	0.0987377	0.212577
ENSMUSG00000000804	Usp32	7.28714	8.47683	16.1708	7.60543	16.4481	15.431	8.59497	10.2278	8.64689
ENSMUSG00000000805	Car4	0	0	0	0	0.329378	0	0	0	0
ENSMUSG00000000811	Txnrd3	3.32012	4.91746	13.3964	9.08751	5.25098	5.16102	3.69941	3.48185	4.21603
ENSMUSG00000000817	Fasl	0.0258892	0	0.0499659	0	0	0	0.0583376	0.0319185	0
ENSMUSG00000000823	Znf512b	7.98364	7.92294	14.4889	18.7321	16.6093	32.2117	21.2133	21.9616	21.9038
ENSMUSG00000000826	Dnajc5	28.6346	27.2088	35.5462	29.7809	69.2474	29.9202	42.712	42.3609	53.7567
ENSMUSG00000000827	Tpd52l2	138.412	85.3621	107.332	85.6475	123.318	56.845	79.264	84.157	126.192
ENSMUSG00000000838	Fmr1	28.4871	12.431	22.6913	26.5058	14.1537	23.5002	26.6749	27.8786	17.6292
ENSMUSG00000000861	Bcl11a	2.12445	0.293447	5.44481	4.59983	0.356504	0.489444	1.12585	1.85024	0.240894
ENSMUSG00000000869	Il4	1.59622	0.442385	0	0.246539	0.700247	1.56819	0.605296	0.662357	0.299643
ENSMUSG00000000876	Pxmp4	6.71227	11.1358	6.25229	4.32098	10.3172	11.0543	14.2793	12.6607	10.4415
ENSMUSG00000000881	Dlg3	5.17013	10.3852	8.76314	15.4087	17.9068	18.4267	18.1747	20.2093	19.5937
ENSMUSG00000000884	Gnb1l	5.81618	8.00509	28.8773	26.3799	12.8987	11.4626	7.37654	6.10265	8.86074
ENSMUSG00000000889	Dbh	0	0.0471193	0	0	0	0	0.0429808	0.0940652	0
ENSMUSG00000000901	Mmp11	43.8051	73.686	10.4274	6.46805	30.4676	87.1628	55.2374	52.3038	29.1916
ENSMUSG00000000902	Smarcb1	91.105	58.6566	56.1254	59.5135	56.4197	47.223	54.8878	53.7277	61.0031
ENSMUSG00000000903	Vpreb3	1.82806	1.85452	1.1384	0.295286	0.559145	1.41039	0.120827	0.264445	0.142628
ENSMUSG00000000915	Hip1r	4.53638	2.51919	9.4809	7.07054	3.28318	4.17474	2.17892	4.64356	2.51282
ENSMUSG00000000916	Nsun5	8.05611	9.33958	19.7255	27.5646	11.3867	8.9261	5.21045	7.84753	5.73324
ENSMUSG00000000934	Top1mt	5.03798	7.75431	18.8619	26.3184	13.7251	8.24231	6.41942	7.50894	8.31441
ENSMUSG00000000938	Hoxa10	6.01652	11.0768	1.68997	2.84786	11.7329	0.150757	18.4685	17.328	12.5675
ENSMUSG00000000942	Hoxa4	1.64429	3.74548	3.54884	14.2709	4.27202	3.54392	4.28882	4.37495	4.07587
ENSMUSG00000000948	Snrpn	18.3923	14.7843	19.2397	11.7047	11.6394	11.9171	10.6153	12.0495	19.1369
ENSMUSG00000000957	Mmp14	60.2443	220.494	35.8666	38.6126	151.043	185.657	242.4	249.33	228.591
ENSMUSG00000000958	Slc7a7	17.1195	6.75403	0.693402	0.339483	4.32634	1.25937	3.36377	3.18301	3.97036
ENSMUSG00000000959	Oxa1l	31.5455	22.9934	30.3166	36.2625	25.1748	41.0895	24.2199	23.3623	24.3466
ENSMUSG00000000976	Heatr6	6.42088	3.64812	9.16824	9.7176	8.18258	11.7663	6.98259	6.64921	8.26421
ENSMUSG00000000982	Ccl3	0	0	0	0.147104	0.668515	0.423135	0.180583	0.197607	4.15674
ENSMUSG00000000983	Wfdc18	0	0	0	0	0	0	0.160957	0.0777567	0.189999
ENSMUSG00000001014	Icam4	0.0141734	3.21023e-07	5.08432e-05	0.906033	0	3.23268e-07	8.34816e-07	0.248614	3.49438e-06
ENSMUSG00000001016	Ilf2	83.0257	30.821	64.2067	79.1426	38.526	22.5824	33.4444	31.0259	30.9138
ENSMUSG00000001017	Chtop	76.6482	37.3467	61.2735	72.7867	51.9509	39.1285	47.8735	48.2849	52.0482
ENSMUSG00000001018	Snapin	22.6877	34.5001	27.0858	22.2686	40.8647	40.4256	53.6725	55.9404	51.6242
ENSMUSG00000001020	S100a4	324.707	1431.94	569.307	395.613	683.28	16.0637	693.196	713.116	577.619
ENSMUSG00000001021	S100a3	4.85274	8.25607	13.1858	2.36161	5.45868	0.117064	1.8994	0.437569	2.47812
ENSMUSG00000001023	S100a5	0	0.172082	0	0.767348	0	0	0	0.257648	0.277935
ENSMUSG00000001025	S100a6	3382.37	3067.66	1294.61	694.437	1364.85	215.116	1256.54	1270.55	1458.24
ENSMUSG00000001027	Scn4a	0	0	0	0	0	0	0	0	0
ENSMUSG00000001027	Scn4a	0	0	0	0.0128429	0.0291823	0.00927381	0.0078829	0.00862601	0
ENSMUSG00000001029	Icam2	0.401425	0.123586	0.144831	0	0	0	0.0469059	0.330383	0
ENSMUSG00000001034	Mapk7	7.57877	14.6058	11.1646	12.2332	30.2621	32.5254	22.7444	25.2038	29.274
ENSMUSG00000001036	Epn2	25.1383	13.4586	16.942	10.2991	46.5085	16.518	10.1357	11.5405	39.2348
ENSMUSG00000001039	B9d1	33.0021	22.4552	14.3894	22.9494	34.6653	10.5	27.9494	31.6831	36.8283
ENSMUSG00000001052	Sec24b	43.9636	44.3467	35.2666	33.314	43.6423	69.4575	37.9471	41.0698	46.4044
ENSMUSG00000001053	N4bp3	2.7467	0.835568	2.65784	2.09073	0.6695	0.581455	1.13401	0.974155	2.2807
ENSMUSG00000001054	Rmnd5b	29.2908	14.5572	17.3301	12.8636	21.3462	11.7375	14.6845	15.9744	19.7821
ENSMUSG00000001056	Nhp2	104.927	105.851	377.013	475.673	70.1852	57.8137	68.6296	66.6246	71.9761
ENSMUSG00000001076	C1ql4	0	0	0	0	0	0.266074	0	0.082778	0
ENSMUSG00000001082	Mfsd10	46.7691	42.8115	37.3554	69.7536	59.9609	59.4368	40.5665	58.4676	52.137
ENSMUSG00000001089	Luzp1	13.7688	13.1798	14.7602	14.4993	20.8581	14.5842	13.5486	13.8159	14.0948
ENSMUSG00000001095	Slc13a2	0	0.0167042	0	0	0	0	0	0	0
ENSMUSG00000001098	Kctd10	40.7204	132.794	44.0557	75.5843	153.396	96.827	98.8173	97.7067	137.808
ENSMUSG00000001100	Poldip2	143.971	53.8117	121.832	88.4052	61.1896	52.8314	50.1836	52.5611	68.5478
ENSMUSG00000001103	Sebox	0	0	0	0	0	0	0	0	0
ENSMUSG00000001105	Ift20	57.6389	87.0122	39.959	38.8476	55.6925	31.9007	83.3598	89.8745	87.5595
ENSMUSG00000001119	Col6a1	56.537	58.7271	27.7629	27.0008	46.3207	182.257	205.027	225.432	182.127
ENSMUSG00000001120	Pcbp3	4.52623	6.13243	6.2021	10.761	8.5557	12.4802	14.7241	8.18957	9.19352
ENSMUSG00000001123	Lgals9	43.5067	94.9991	22.2968	5.37977	111.139	10.3693	30.9825	28.9186	81.5905
ENSMUSG00000001127	Araf	37.3817	49.494	49.9727	34.2943	73.592	94.6413	56.8046	48.7129	68.5552
ENSMUSG00000001128	Cfp	10.9789	5.98913	1.81289	0.842445	1.37124	3.88271	3.89708	3.28172	2.70673
ENSMUSG00000001131	Timp1	483.088	908.236	191.982	93.3705	988.799	178.124	391.87	400.054	832.86
ENSMUSG00000001134	Uxt	21.3096	4.47522	6.6688	6.45325	5.15002	6.67571	5.40258	4.94154	6.16118
ENSMUSG00000001138	Cnnm3	6.10706	2.50704	4.31528	6.76263	4.0941	8.87721	3.35497	4.5154	4.94555
ENSMUSG00000001143	Lman2l	14.0712	8.73869	4.12433	4.66602	8.2467	11.0516	9.1563	10.303	10.3644
ENSMUSG00000001150	Mcm3ap	10.9644	5.64522	13.0978	12.0994	10.8688	8.55644	7.12735	7.38946	10.0141
ENSMUSG00000001151	Pcnt	8.49769	2.12466	5.07005	5.2351	2.88802	2.93727	2.05333	2.12272	2.9596
ENSMUSG00000001155	Ftcd	0.0330737	0	0.015944	0.0151642	0.0516853	0.0875546	0.0930768	0	0.0689429
ENSMUSG00000001156	Mxd1	1.72896	1.92588	1.94698	1.21608	5.4846	2.58071	1.78689	2.19047	3.24405
ENSMUSG00000001157	Gmcl1	11.3376	5.78607	6.44778	6.76365	9.15715	8.52338	8.26869	9.45622	6.37671
ENSMUSG00000001158	Snrnp27	91.7158	71.492	59.8397	80.634	72.7143	55.1798	67.0763	71.2743	75.0043
ENSMUSG00000001166	Oas1c	1.78225	0.42419	0.966107	0.478405	2.68009	0.839878	1.01323	1.14612	3.17627
ENSMUSG00000001168	Oas1h	0.0297772	0	0	0	0.0423453	0	0	0	0
ENSMUSG00000001173	Ocrl	6.96163	7.10066	6.52511	6.00056	9.92218	21.4366	10.7022	14.0412	11.1952
ENSMUSG00000001175	Calm1	459.849	527.676	671.077	352.47	498.942	153.272	665.879	647.854	512.768
ENSMUSG00000001211	Agpat3	49.239	59.8896	55.4949	33.9001	82.559	72.5155	50.9701	50.8056	74.5967
ENSMUSG00000001225	Slc26a3	0	0	0	0	0	0	0	0	0.0297904
ENSMUSG00000001227	Sema6b	0.147612	0.266283	0.366866	0.63997	0.768666	0.806006	0.757078	0.593704	1.03037
ENSMUSG00000001228	Uhrf1	68.3678	9.11341	35.747	45.7481	3.27451	5.13618	14.9184	14.8601	5.66042
ENSMUSG00000001229	Dpp9	13.0913	18.7757	16.3179	19.8519	19.7226	14.1143	18.1973	16.4896	19.184
ENSMUSG00000001240	Ramp2	14.5542	5.28182	5.08994	2.95506	3.37738	1.75062	1.02266	1.09187	4.62915
ENSMUSG00000001247	Lsr	3.81584	3.31467	7.61395	1.20045	2.93952	0.358958	9.35283	10.5466	7.6421
ENSMUSG00000001248	Gramd1a	14.98	24.4032	18.3488	15.276	29.6096	49.196	23.6132	24.4809	32.1656
ENSMUSG00000001249	Hpn	0	0.699515	0.414821	0.842943	0.836959	3.6298	0.332596	0.813049	0.84403
ENSMUSG00000001260	Gabrg1	0.00981219	0	0	0	0.0204335	0	0.0331178	0.0241598	0
ENSMUSG00000001270	Ckb	37.6392	144.135	116.779	24.4442	47.8219	80.1122	73.5476	67.2929	41.5399
ENSMUSG00000001280	Sp1	14.3735	5.47553	12.4004	34.0225	18.1235	27.2692	12.5213	22.6688	26.1683
ENSMUSG00000001281	Itgb7	0.219543	0.641962	0.69983	0.532482	1.49351	0.288196	0.102136	0.268396	0.293787
ENSMUSG00000001285	Myg1	92.1117	36.8592	45.2205	71.7522	32.6974	23.2874	39.5856	40.0348	34.4407
ENSMUSG00000001288	Rarg	29.5303	47.8058	24.9234	30.5047	64.9401	57.2416	69.6514	76.5158	67.1852
ENSMUSG00000001289	Pfdn5	319.376	279.892	156.241	198.307	326.382	219.656	279.287	299.13	283.88
ENSMUSG00000001300	Efnb2	6.537	15.8315	9.68727	7.72477	36.4924	13.9246	36.9658	27.6802	30.1058
ENSMUSG00000001305	Rrp15	33.7309	24.7668	54.5853	70.8585	17.6062	8.84267	15.4155	16.5152	16.7876
ENSMUSG00000001313	Rnd2	41.5376	5.76016	17.8041	3.68622	11.4642	6.64686	7.56193	7.64831	13.6733
ENSMUSG00000001323	Srr	4.36317	8.98948	8.63844	6.30644	25.7108	27.3089	20.8067	19.5726	21.3698
ENSMUSG00000001333	Sync	0.346146	3.6681	0.403666	0.73538	2.89562	1.90903	5.80426	5.70567	3.38931
ENSMUSG00000001334	Fndc5	0.105072	0.288185	0.0506589	0.080302	0.127726	0.625874	0.84777	0.992411	0.442185
ENSMUSG00000001348	Acp5	0.978503	2.59023	0.578228	1.25879	3.45594	0.84235	5.44267	5.54023	2.78902
ENSMUSG00000001349	Cnn1	2.21583	215.344	4.05482	14.1088	24.2852	90.1947	59.1581	57.3044	11.865
ENSMUSG00000001366	Fbxo9	24.2737	17.5653	20.8281	15.0746	19.0907	14.8879	15.0262	17.2925	25.4634
