Gene ID	Symbol	MEF	Day2	Day4	Day6	Day8	IPS	ES
ENSMUSG00000000365	Rnf17	0.082588	0.0998713	0.10131	0.134087	0.104126	7.06683	20.9633
ENSMUSG00000000374	Trappc10	9.33559	7.56654	8.52179	8.07796	5.20678	3.40381	7.02347
ENSMUSG00000000378	Ccm2	40.2163	39.4982	25.1415	24.3434	22.9909	21.5052	21.5581
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	15.5276	12.146	34.2876	28.0134	23.3552	50.2065	55.7709
ENSMUSG00000000385	Tmprss2	0	0	0.00844045	0	0.0173422	0.150335	0.409551
ENSMUSG00000000386	Mx1	0.0575287	0.0895262	0.308253	0.184904	0.112909	0.0093636	0.464671
ENSMUSG00000000392	Fap	0.109634	0.0585562	9.21351	14.3481	21.2796	2.33038	0.334841
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	75.3155	68.3428	92.8517	88.1575	106.722	148.165	89.6018
ENSMUSG00000000402	Egfl6	0.802569	1.02083	17.7405	105.672	116.176	1.5679	1.52205
ENSMUSG00000000409	Lck	1.01982	0.805147	0.706251	0.768028	1.94358	15.5986	16.2166
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0	0.110504
ENSMUSG00000000416	Cttnbp2	0.0910136	0.111262	0.0848478	0.0997175	0.197802	0.0583396	0.454299
ENSMUSG00000000420	Galnt1	39.5275	42.8286	40.6023	37.1358	36.3821	18.7075	29.2839
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0.0160084
ENSMUSG00000000439	Mkrn2	12.9713	12.6992	12.6738	11.0516	9.93037	20.8124	20.438
ENSMUSG00000000440	Pparg	5.05036	8.26348	1.72254	3.19061	4.41725	0.207025	0.308846
ENSMUSG00000000441	Raf1	37.1082	35.9688	46.7096	45.4111	37.4666	53.7032	49.7662
ENSMUSG00000000486	1-Sep	0.480478	0.387667	2.23848	1.97376	2.40778	248.553	186.437
ENSMUSG00000000489	Pdgfb	0.105705	0.137566	0.348904	0.542738	0.528172	0.430306	0.746237
ENSMUSG00000000530	Acvrl1	2.91659	3.48636	2.30056	4.01908	5.57959	0.453727	0.382474
ENSMUSG00000000531	Grasp	7.56662	5.07679	4.35639	5.15418	4.21911	14.4986	8.92362
ENSMUSG00000000532	Acvr1b	3.37379	3.98719	3.97634	4.49272	3.24505	5.91993	13.8888
ENSMUSG00000000538	Tom1l2	11.9216	12.8254	10.5363	10.7898	9.00597	2.23973	3.10688
ENSMUSG00000000544	Gpa33	0.0395202	0.0560134	0.0245423	0.0216509	0.36541	43.3793	49.8329
ENSMUSG00000000552	Zfp385a	6.24669	6.47015	11.615	12.6928	7.75978	3.64586	9.96555
ENSMUSG00000000555	Itga5	65.0265	54.4346	15.0544	16.492	11.5085	22.2383	16.594
ENSMUSG00000000560	Gabra2	0	0	0	0	0	0.0106428	0.0413359
ENSMUSG00000000561	Wdr77	28.0694	24.1519	50.1862	47.449	44.4523	77.6877	68.2842
ENSMUSG00000000562	Adora3	0	0	0	0	0	0.0225359	0
ENSMUSG00000000563	Atp5f1	68.0582	62.8715	82.7383	82.6204	111.037	181.504	140.563
ENSMUSG00000000567	Sox9	12.7696	11.57	2.13725	1.97554	3.63431	0.107371	0.0617297
ENSMUSG00000000568	Hnrnpd	151.462	117.012	241.393	196.539	168.592	410.707	279.788
ENSMUSG00000000579	Dynlt1c	8.91117	9.26073	12.301	11.296	11.454	18.3784	26.1651
ENSMUSG00000000581	C1d	49.2584	50.7302	52.7739	43.9947	42.6176	32.9317	32.6961
ENSMUSG00000000594	Gm2a	11.1815	17.4141	11.9762	12.2737	13.6628	4.78765	5.83753
ENSMUSG00000000600	Krit1	7.27685	7.13243	7.34476	7.2136	5.76197	4.12416	7.09209
ENSMUSG00000000605	Clcn4-2	14.2913	13.8038	8.34132	8.3972	7.99034	0.971182	0.943857
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0	0.0127326
ENSMUSG00000000617	Grm6	0	0	0	0.00709943	0	0.0226317	0
ENSMUSG00000000627	Sema4f	0.722774	0.833654	2.32147	0.812328	0.337546	0.513371	0.78232
ENSMUSG00000000628	Hk2	11.4127	15.2636	31.9313	17.5631	39.2532	199.8	45.4666
ENSMUSG00000000631	Myo18a	17.8622	15.6919	10.6956	15.1253	10.9362	8.30353	14.3124
ENSMUSG00000000632	Sez6	0.0223093	0	0.0796039	0.767576	0.839933	0.14645	0.104922
ENSMUSG00000000673	Haao	0	0	0	0.0211975	0.0246409	0.0224718	0.0874627
ENSMUSG00000000682	Cd52	0.0714079	0.0582927	0	0	0	0.411777	0.269321
ENSMUSG00000000686	Abhd15	0.183283	0.0473194	0.222778	0.2352	0.15601	0.0397319	0.0482817
ENSMUSG00000000690	Hoxb6	0.216373	0.211084	1.02135	0.896083	0.353605	0.0172957	0
ENSMUSG00000000693	Loxl3	17.4991	22.1945	17.3674	16.6643	17.9503	1.25534	0.596071
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0.111283	0.0403328	0.172109	0.118234	0.0318693	0.079974	0.17873
ENSMUSG00000000708	Kat2b	5.01974	4.29431	7.7418	7.90686	7.71215	10.5623	13.905
ENSMUSG00000000711	Rab5b	41.7926	42.3778	25.46	26.1464	24.8841	16.0049	21.3047
ENSMUSG00000000724	Cryba1	0	0.0165081	0	0.0184685	0.0852866	0.155457	0
ENSMUSG00000000730	Dnmt3l	0.103093	0.0937409	0.479105	0.141009	2.3978	189.366	28.4933
ENSMUSG00000000731	Aire	0.0529471	0.230408	0.14074	0.0159227	0.0466784	7.40425	6.21786
ENSMUSG00000000732	Icosl	0.0468092	0.0307778	0.390307	0.258259	0.270609	3.8318	2.01221
ENSMUSG00000000751	Rpa1	37.3675	34.2483	62.167	49.6366	45.1637	118.497	136.213
ENSMUSG00000000753	Serpinf1	614.478	675.486	250.58	396.823	551.428	13.3205	9.19519
ENSMUSG00000000759	Tubgcp3	16.1642	15.6516	21.657	19.2392	16.3117	17.9047	20.8942
ENSMUSG00000000766	Oprm1	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	19.2133	17.1166	19.8575	25.6	25.3928	28.268	19.5951
ENSMUSG00000000782	Tcf7	0.873518	0.70055	1.71104	1.44095	2.23029	9.21499	12.4302
ENSMUSG00000000787	Ddx3x	80.402	71.6549	95.9769	68.901	58.1687	89.4877	109.756
ENSMUSG00000000791	Il12rb1	0.0447787	0.0809711	0.0186695	0	0.115064	0.0874936	0.385
ENSMUSG00000000792	Slc5a5	0.351071	0.23085	0.0914834	0.145281	0.0845769	1.08901	1.52035
ENSMUSG00000000794	Kcnn3	0.0535162	0.0733117	0.0278906	0.0410246	0.13457	0.0261417	0.0990831
ENSMUSG00000000804	Usp32	10.42	8.2213	5.24979	4.58372	2.73791	2.70276	7.51583
ENSMUSG00000000805	Car4	0	0.057952	0.118722	0.020532	0.12107	5.56393	1.86419
ENSMUSG00000000811	Txnrd3	4.07252	4.00406	5.08242	4.4088	3.98592	3.80999	3.23761
ENSMUSG00000000817	Fasl	0	0	0.014306	0	0	0.0267948	0
ENSMUSG00000000823	Znf512b	9.04035	8.3209	19.7436	21.0217	11.3191	8.65298	9.90419
ENSMUSG00000000826	Dnajc5	25.8526	26.7671	25.4285	22.1536	14.3511	11.7418	16.1727
ENSMUSG00000000827	Tpd52l2	90.5416	87.412	81.0354	84.79	79.8781	91.0463	92.1566
ENSMUSG00000000838	Fmr1	100.109	64.9808	31.59	21.2068	14.9731	13.6858	26.2831
ENSMUSG00000000861	Bcl11a	0.00838627	0.0489105	0.57759	0.788971	1.23167	0.257964	0.177599
ENSMUSG00000000869	Il4	0.396806	0.540177	0.548769	0.302108	0.279611	0.0636456	0.24954
ENSMUSG00000000876	Pxmp4	7.30533	9.84605	11.367	12.6986	13.4412	6.68408	9.52748
ENSMUSG00000000881	Dlg3	10.0611	12.7792	8.77303	9.23125	7.4721	6.8261	8.70956
ENSMUSG00000000884	Gnb1l	1.90862	2.00981	7.51661	6.81916	6.26649	7.00994	10.8953
ENSMUSG00000000889	Dbh	0	0.00835428	0	0	0	0	0
ENSMUSG00000000901	Mmp11	19.1248	30.8403	17.3195	23.0098	25.0223	28.6868	21.9909
ENSMUSG00000000902	Smarcb1	51.2478	47.1931	64.9702	66.5177	80.2372	114.807	58.9829
ENSMUSG00000000903	Vpreb3	0.0537703	0.0439767	0.0558294	0.295169	0.40533	2.07671	1.48619
ENSMUSG00000000915	Hip1r	3.4172	3.27569	4.20738	3.31852	2.99532	1.68583	2.74656
ENSMUSG00000000916	Nsun5	6.22057	5.1468	14.5247	13.5667	14.637	20.3846	14.377
ENSMUSG00000000934	Top1mt	7.17443	7.03098	9.6167	10.0127	9.53478	5.61479	4.75443
ENSMUSG00000000938	Hoxa10	0.738864	0.461766	0.268319	0.0723552	0.0673248	0.138187	0.10795
ENSMUSG00000000942	Hoxa4	2.55485	3.00719	3.21107	2.55066	2.7668	0.116229	0.172154
ENSMUSG00000000948	Snrpn	8.70648	7.55911	12.1952	12.477	16.3922	44.7078	35.8218
ENSMUSG00000000957	Mmp14	186.625	197.192	172.493	196.795	174.093	7.83423	5.62545
ENSMUSG00000000958	Slc7a7	0.603419	0.738485	0.91031	1.71019	3.60273	51.5954	15.5221
ENSMUSG00000000959	Oxa1l	25.0945	26.7468	40.5121	37.3574	40.5541	55.7857	35.1575
ENSMUSG00000000976	Heatr6	6.15627	6.36138	9.35461	7.05691	4.52766	3.48994	6.72413
ENSMUSG00000000982	Ccl3	0	0.100561	0.0850816	0.0374978	0.0435023	0	0
ENSMUSG00000000983	Wfdc18	0.209885	0.799692	0.652892	0.830594	1.18219	0	0
ENSMUSG00000001014	Icam4	0.0330346	2.17E-07	0.206047	0.101124	3.43E-08	0.304286	1.09139
ENSMUSG00000001016	Ilf2	34.8156	36.0129	74.238	78.0002	82.3849	192.182	105.253
ENSMUSG00000001017	Chtop	49.0817	43.5942	64.679	69.9395	80.4403	105.194	77.2729
ENSMUSG00000001018	Snapin	51.8625	59.3974	41.3359	45.3626	42.8517	22.9899	21.3999
ENSMUSG00000001020	S100a4	1008.42	965.295	351.169	218.599	466.765	26.6283	6.87639
ENSMUSG00000001021	S100a3	0.946006	1.01418	0.702123	0.495055	0.574064	0.043591	0.113533
ENSMUSG00000001023	S100a5	0.391886	0	0	0.178409	0.308609	0.0935383	0.118655
ENSMUSG00000001025	S100a6	2865.15	2726.33	996.554	911.542	1654.14	100.69	52.6197
ENSMUSG00000001027	Scn4a	0	0	0	0	0	0	0.00951599
ENSMUSG00000001027	Scn4a	0	0.00618655	0	0.00692173	0	0.0147187	0.00951599
ENSMUSG00000001029	Icam2	0	0.108625	0	0	0.0233111	0.414364	0.14856
ENSMUSG00000001034	Mapk7	9.88599	9.02426	13.0686	13.4058	9.93686	8.13082	16.817
ENSMUSG00000001036	Epn2	9.1221	8.8465	18.5141	15.8584	14.7224	12.9373	17.9124
ENSMUSG00000001039	B9d1	20.5989	19.589	17.7035	20.0285	23.4338	37.8716	39.629
ENSMUSG00000001052	Sec24b	23.9701	22.029	30.6078	27.0571	21.3916	9.89204	11.8658
ENSMUSG00000001053	N4bp3	0.406629	0.307999	0.574414	0.476343	1.17974	9.03191	22.9101
ENSMUSG00000001054	Rmnd5b	18.917	14.0881	16.5452	17.4088	20.5886	46.3969	30.0834
ENSMUSG00000001056	Nhp2	39.0754	37.2609	108.779	112.035	181.957	378.227	202.917
ENSMUSG00000001076	C1ql4	0	0	0	0.0317206	0	0.100709	0.349105
ENSMUSG00000001082	Mfsd10	25.6288	28.8215	43.1319	48.9456	29.9424	39.5652	51.471
ENSMUSG00000001089	Luzp1	14.0654	13.7555	8.55974	8.23427	5.81907	8.07993	16.7559
ENSMUSG00000001095	Slc13a2	0	0	0	0	0	0.0843829	0.0273111
ENSMUSG00000001098	Kctd10	88.1604	101.241	41.2826	44.3242	31.4237	10.6919	12.0809
ENSMUSG00000001100	Poldip2	46.287	42.7961	112.634	111.1	95.2643	67.7201	50.5226
ENSMUSG00000001103	Sebox	0	0	0.0447378	0.0378165	0	0.0209174	0
ENSMUSG00000001105	Ift20	59.5534	59.737	57.0461	61.6606	85.6087	60.694	49.4692
ENSMUSG00000001119	Col6a1	173.797	199.672	284.84	225.526	212.775	1.5587	0.76293
ENSMUSG00000001120	Pcbp3	4.91151	5.71647	11.0318	8.78862	7.5258	5.45105	6.67166
ENSMUSG00000001123	Lgals9	29.0821	36.8555	23.0159	26.6868	32.9863	6.59193	2.46316
ENSMUSG00000001127	Araf	34.3971	37.0696	45.1389	49.8629	39.0538	25.1216	37.3738
ENSMUSG00000001128	Cfp	1.24135	1.04192	2.93125	4.37803	3.89246	3.42488	3.95689
ENSMUSG00000001131	Timp1	548.253	759.514	209.237	327.821	431.005	93.2146	58.2331
ENSMUSG00000001134	Uxt	1.80793	0.910596	2.12527	1.54883	1.87644	3.25039	4.04812
ENSMUSG00000001138	Cnnm3	2.94107	3.1544	6.96215	5.23405	3.8959	4.71761	10.6252
ENSMUSG00000001143	Lman2l	12.3562	10.517	12.4474	13.2841	13.9972	7.91002	9.35147
ENSMUSG00000001150	Mcm3ap	10.1157	8.82644	11.0919	10.5558	10.2284	14.1985	26.7813
ENSMUSG00000001151	Pcnt	1.67076	1.46343	4.97682	3.687	2.69823	4.73957	16.2631
ENSMUSG00000001155	Ftcd	0.026465	0.0580072	0.0459755	0.0162248	0.0377816	0	0
ENSMUSG00000001156	Mxd1	2.03261	2.16719	2.02385	2.16218	1.73089	1.02674	1.01473
ENSMUSG00000001157	Gmcl1	13.3979	11.6133	10.7179	10.8241	10.419	11.1995	12.6586
ENSMUSG00000001158	Snrnp27	64.8097	64.1225	63.1289	67.2768	96.5228	107.852	103.977
ENSMUSG00000001166	Oas1c	1.18767	1.81123	1.23216	0.834641	0.94095	0.886379	1.22705
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0	0.0807606
ENSMUSG00000001173	Ocrl	13.5707	13.5848	12.0491	11.7249	8.82778	6.0977	10.7358
ENSMUSG00000001175	Calm1	218.667	208.153	163.033	139.416	135.923	100.608	119.642
ENSMUSG00000001211	Agpat3	15.3191	13.245	21.1442	23.3727	17.5629	6.85812	13.435
ENSMUSG00000001225	Slc26a3	0	0.00604275	0	0	0.0225706	0	0
ENSMUSG00000001227	Sema6b	0.040707	0.140669	0.212647	0.22999	0.123553	0.0862183	0.347507
ENSMUSG00000001228	Uhrf1	10.37	9.22777	41.4617	22.1906	25.2957	99.2956	118.146
ENSMUSG00000001229	Dpp9	13.9974	11.9301	15.1661	14.4141	9.38827	7.23897	10.0075
ENSMUSG00000001240	Ramp2	2.0001	1.90045	12.2451	16.8924	19.9551	1.48377	0.911785
ENSMUSG00000001247	Lsr	0.0695618	0.0464415	0.356331	4.19695	8.13143	15.1336	14.7133
ENSMUSG00000001248	Gramd1a	16.4478	18.5712	28.9126	25.9325	19.6727	9.40406	23.6944
ENSMUSG00000001249	Hpn	0.731167	0.873223	0.336029	0.404864	0.458006	4.27532	5.45764
ENSMUSG00000001260	Gabrg1	0	0	0	0.00967206	0.0281646	0	0
ENSMUSG00000001270	Ckb	19.4461	24.2797	7.41831	24.5875	17.8652	34.9528	159.153
ENSMUSG00000001280	Sp1	10.8695	10.4621	13.5147	10.0298	8.77723	14.6492	24.4217
ENSMUSG00000001281	Itgb7	0.444805	0.270191	0.120932	0.0533452	0.0310524	6.90393	6.32629
ENSMUSG00000001285	Myg1	42.179	39.3838	56.1418	49.1835	57.6185	75.5935	38.3469
ENSMUSG00000001288	Rarg	38.3239	43.5595	28.9553	26.5509	19.2019	29.4083	20.691
ENSMUSG00000001289	Pfdn5	199.13	243.49	201.503	221.394	324.805	228.861	142.441
ENSMUSG00000001300	Efnb2	29.7969	30.3877	17.4382	11.7501	12.8838	2.00417	1.54739
ENSMUSG00000001305	Rrp15	27.4745	22.8744	48.0753	45.6405	57.7217	106.568	67.007
ENSMUSG00000001313	Rnd2	6.725	5.22433	27.1576	31.2942	35.6302	17.7518	12.248
ENSMUSG00000001323	Srr	10.1036	10.7743	7.10932	8.16588	7.6676	1.15196	1.37787
ENSMUSG00000001333	Sync	7.02284	7.11881	0.968838	1.02893	0.279669	0.0236678	1.16345
ENSMUSG00000001334	Fndc5	0.550854	0.613892	0.476834	1.09034	1.28942	0.373937	0.12985
ENSMUSG00000001348	Acp5	1.4381	1.85981	1.25135	1.51717	3.57431	9.42756	8.21072
ENSMUSG00000001349	Cnn1	34.7808	71.6795	1.04496	1.24603	0.247632	0.268974	0.222869
ENSMUSG00000001366	Fbxo9	16.9591	16.9485	16.6644	19.5613	21.324	15.7041	6.67696
ENSMUSG00000001376	Ccdc132	15.1019	13.8278	15.0998	14.3314	15.3264	26.671	20.4561
ENSMUSG00000001379	Apbb3	4.31803	4.91613	8.71816	10.7137	9.2657	6.41508	5.34433
ENSMUSG00000001380	Hars	57.2536	54.6565	61.9822	59.5012	59.1633	81.18	51.9623
ENSMUSG00000001383	Zmat2	52.7514	51.3675	69.4548	70.1884	92.2377	115.686	53.4003
ENSMUSG00000001403	Ube2c	39.1757	35.0104	117.18	97.5941	132.518	273.003	193.713
ENSMUSG00000001415	Smg5	16.9739	13.5767	18.6416	17.4956	14.0372	26.918	40.6164
ENSMUSG00000001416	Cct3	208.175	173.714	327.713	327.995	496.731	960.023	270.433
ENSMUSG00000001417	Rhbg	0.0718205	0.0389389	0.0223122	0.0686412	0.0733445	0.70067	1.27074
ENSMUSG00000001418	0610031J06Rik	275.22	223.795	129.498	158.624	246.348	145.399	86.6662
ENSMUSG00000001419	Mef2d	12.926	10.3461	13.5163	12.3139	8.18024	3.81386	14.4542
ENSMUSG00000001420	Tmem79	0.0408815	0.111083	0.420759	0.479532	0.199399	2.2578	3.38783
ENSMUSG00000001424	Snd1	159.513	120.654	150.41	145.757	82.0621	63.1746	116.973
ENSMUSG00000001435	Col18a1	9.97872	10.156	9.67761	8.87815	6.9609	11.8733	19.8265
ENSMUSG00000001436	Slc19a1	6.50493	6.44254	22.8595	18.096	11.1204	7.16457	10.7598
ENSMUSG00000001440	Kpnb1	133.494	114.626	140.03	124.88	93.5436	184.844	149.526
ENSMUSG00000001441	Npepps	34.6611	37.0423	51.1848	39.7464	30.8295	27.0818	50.6348
ENSMUSG00000001444	Tbx21	0	0	4.92665	7.23753	2.896	0.306064	0.198107
ENSMUSG00000001445	Mrpl10	35.1295	33.3179	45.8993	49.5288	55.9103	64.4296	42.341
ENSMUSG00000001467	Cyp51	52.2816	22.0323	24.5616	23.7982	25.968	24.4508	28.3951
ENSMUSG00000001473	Tubb6	104.316	109.772	84.7121	81.413	62.8319	24.4276	49.8721
ENSMUSG00000001493	Meox1	2.87788	2.49525	0.0367968	0.616767	0.478582	0.637729	0.0446356
ENSMUSG00000001494	Sost	0	0	0.346207	0.411127	0.328092	0	0
ENSMUSG00000001496	Nkx2-1	0	0	0	0	0	0.0114126	0
ENSMUSG00000001497	Pax9	3.78401	5.03907	5.67575	3.51785	3.22322	0.0177563	0.0286282
ENSMUSG00000001504	Irx2	47.7717	32.8398	59.5113	66.7264	70.6299	1.48974	1.88071
ENSMUSG00000001506	Col1a1	559.793	556.262	446.8	701.871	744.761	5.20275	5.18534
ENSMUSG00000001507	Itga3	14.3268	10.601	1.86133	1.12483	1.12582	3.14051	7.15007
ENSMUSG00000001508	Sgca	0.718593	0.513989	0.306023	0.394283	1.22027	0.309234	0.0694074
ENSMUSG00000001510	Dlx3	0.00981449	0.0241982	0.0204581	0	0	0.277997	0.533558
ENSMUSG00000001517	Foxm1	8.4865	7.51742	20.9822	13.6998	9.46713	15.3156	24.3759
ENSMUSG00000001518	Itfg2	7.05509	7.20663	10.9471	10.8415	10.426	12.4247	8.29786
ENSMUSG00000001520	Nrip2	1.36358	1.60318	0.324847	0.17438	0.0838502	0.127579	0.121318
ENSMUSG00000001521	Tulp3	26.0023	21.8404	31.6296	39.2439	27.9598	23.2654	21.9153
ENSMUSG00000001524	Gtf2h4	11.0476	11.9672	22.879	23.1593	26.586	50.697	39.0411
ENSMUSG00000001525	Tubb5	594.398	624.718	718.049	629.486	595.823	882.26	718.142
ENSMUSG00000001542	Ell2	18.3539	23.4015	9.03193	9.3109	7.8118	11.839	11.3216
ENSMUSG00000001552	Jup	29.0274	21.2565	11.6603	14.7334	27.8097	52.0243	40.5405
ENSMUSG00000001555	Fkbp10	152.752	151.249	110.119	133.068	122.627	10.038	10.2078
ENSMUSG00000001558	Klhl10	0.271911	0.57549	0.478437	0.63262	0.310442	0.729761	0.900168
ENSMUSG00000001566	Mnx1	0	0	0	0	0	0.0511827	0.231087
ENSMUSG00000001569	Nom1	17.4606	15.1453	24.0606	18.5636	20.2362	21.14	12.6586
ENSMUSG00000001576	Ergic1	72.0596	65.806	67.1901	80.907	67.888	38.9367	46.2361
ENSMUSG00000001583	Tnk1	3.53E-174	0.0122309	0.0643853	0.202892	0.390957	2.28642	3.61743
