Gene ID	Symbol	MEF	Day1	Day2	Day3	Day4	Day5	Day6	Day7	Day8	IPS
ENSMUSG00000000127	Fer	24.1621	13.6916	12.8073	14.4405	14.3789	15.9351	13.1804	11.0671	12.359	12.3463
ENSMUSG00000000131	Xpo6	32.9978	57.3077	52.2231	54.1651	43.8107	64.4823	47.8469	54.2478	59.2195	47.3325
ENSMUSG00000000134	Tfe3	17.2106	30.9006	31.8765	39.3605	61.4506	50.153	32.0673	36.7502	31.9125	18.8423
ENSMUSG00000000142	Axin2	2.7686	0.569998	0.142205	0.185974	0.600048	0.115301	0.635773	2.54675	0.799693	5.44783
ENSMUSG00000000148	Brat1	3.61991	2.71455	3.81171	3.30182	2.86526	3.1953	3.0257	2.75239	3.01202	3.05117
ENSMUSG00000000149	Gna12	22.3128	25.498	32.7694	28.5662	14.9174	11.9251	14.52	10.4713	10.0502	9.3097
ENSMUSG00000000154	Slc22a18	1.37617	0.470371	0.37993	0.280263	0.371388	1.11678	1.66715	1.79699	3.45474	1.93593
ENSMUSG00000000157	Itgb2l	0.0144896	0	0	0	0	0.0951786	0	0	0	0
ENSMUSG00000000159	Igsf5	0.563821	0.0262306	0	0.0686304	0	0	0	0.0779837	0	0.161681
ENSMUSG00000000167	Pih1d2	2.02876	1.88736	1.63363	1.84538	3.24387	2.30011	1.98689	3.34514	3.73714	1.6244
ENSMUSG00000000168	Dlat	17.1434	30.8195	38.4358	35.1643	38.6545	35.1458	27.1464	25.8036	29.1675	23.4328
ENSMUSG00000000171	Sdhd	42.9124	89.7135	74.6888	82.1609	97.4039	76.6151	46.6568	51.2772	71.3684	57.2795
ENSMUSG00000000182	Fgf23	0.0211632	0.206105	0.136013	1.10142	0.293786	0.16043	0.14513	0.203968	0.155315	0.244232
ENSMUSG00000000183	Fgf6	0	0	0	0.0444391	0.04094	0	0	0.0523198	0	0
ENSMUSG00000000184	Ccnd2	154.265	120.39	86.299	64.0739	36.5834	25.6374	7.7085	8.27663	3.60557	0.350794
ENSMUSG00000000194	Gpr107	27.3071	20.8536	24.3104	24.0287	23.4324	24.5256	30.3494	37.5321	32.6528	28.5944
ENSMUSG00000000197	Nalcn	0.126626	0.0550381	0.0490178	0.0139098	0.0128208	0.0257057	0	0.0243387	0.0497839	0.0390205
ENSMUSG00000000202	Btbd17	0.0449398	0	0	0	0	0	0.0513915	0.0398087	0.0274741	0.116672
ENSMUSG00000000204	Slfn4	0.0669841	0.105741	0.0942087	0.132753	0.0439191	0.154639	0.364898	0.28195	0.425978	0.0844857
ENSMUSG00000000214	Th	0.091116	0	0.0879949	0.0556563	0	0	0.0469787	0.183836	0.0700577	0.119616
ENSMUSG00000000215	Ins2	0.114208	0.120665	0.239366	0.154111	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0.0248149	0	0	0.0340337	0.12546	0.047136	0.0565158	0.0397986	0.0304259	0
ENSMUSG00000000223	Drp2	0.813994	1.37827	2.90263	4.07939	4.54064	5.58798	3.58707	1.42698	0.987635	0.42809
ENSMUSG00000000244	Tspan32	0.15364	0.144933	0.439804	0.582233	0.649294	0.266615	0.526497	0.177952	0.502749	3.26524
ENSMUSG00000000247	Lhx2	0.459539	0.466118	0.18281	0.112424	0.0165595	0.208068	0.237617	0.0532439	0.164358	0.218644
ENSMUSG00000000248	Clec2g	0.255674	0.52261	3.21536	4.43346	3.39892	17.5118	29.7946	38.4223	39.3815	0.359796
ENSMUSG00000000253	Gmpr	7.38156	3.23461	6.48413	2.25766	0.980297	0.730263	0.67624	0.713427	1.17472	3.82925
ENSMUSG00000000263	Glra1	0	0	0.0458007	0	0.0809436	0.377786	0.107636	0.0686899	0.0261491	0.027414
ENSMUSG00000000266	Mid2	4.87231	9.91598	7.42494	4.16387	1.35548	1.08515	0.36974	0.386429	0.362762	0.216135
ENSMUSG00000000275	Trim25	9.77646	20.295	21.014	17.0828	15.229	14.4414	25.9644	32.8269	42.0477	49.4779
ENSMUSG00000000276	Dgke	3.19774	3.45529	2.66982	3.71483	4.52233	3.626	4.31535	6.89871	8.10254	8.70238
ENSMUSG00000000278	Scpep1	159.166	45.184	43.5994	30.321	30.039	42.3472	66.089	59.3123	77.9883	91.1192
ENSMUSG00000000282	Mnt	6.73886	10.4688	11.8592	10.679	8.08151	8.76187	9.43123	9.86224	13.0012	16.4595
ENSMUSG00000000290	Itgb2	2.23746	2.23919	1.04652	0.377149	0.268581	0.188286	0.0284691	0.0500159	0.182033	0.190524
ENSMUSG00000000295	Hddc2	16.8281	33.2027	27.6956	27.3678	31.3631	27.3464	17.7794	16.6519	17.8001	24.1682
ENSMUSG00000000296	Tpd52l1	5.44795	3.2286	2.72551	1.59316	2.26112	1.15072	1.51828	3.14197	4.14813	8.31113
ENSMUSG00000000301	Pemt	3.6694	4.47977	2.73991	3.81023	3.63398	4.95199	5.40189	4.09722	4.27072	4.40254
ENSMUSG00000000303	Cdh1	1.64675	0.602396	3.57301	12.5287	58.8944	73.8808	98.5155	142.686	113.891	81.3294
ENSMUSG00000000305	Cdh4	0.593431	0.839741	0.36836	0.910954	0.542008	0.645742	0.332858	1.24112	0.575499	1.80988
ENSMUSG00000000308	Ckmt1	3.53939	0.466138	3.24175	8.26033	5.18168	10.2536	6.02698	15.9868	13.3947	36.1866
ENSMUSG00000000317	Bcl6b	0.241173	0.059469	0.117711	0.120308	0.0415789	0.173297	0.149711	0.25367	0.389951	1.53348
ENSMUSG00000000318	Clec10a	0.366166	0.647756	0.556488	0.254647	0.0792093	0.0392933	0.00636573	0.0240825	0.0604707	0.0421241
ENSMUSG00000000320	Alox12	0.446001	0.205733	0.635359	0.6126	0.261917	0.486251	0.231926	0.5312	0.602835	1.5227
ENSMUSG00000000325	Arvcf	6.32983	2.55273	9.00071	10.6124	4.8474	12.456	10.4876	11.3576	11.7405	14.1572
ENSMUSG00000000326	Comt	43.3355	54.991	44.9638	34.4284	33.0392	28.2773	15.4037	12.1951	10.5685	20.447
ENSMUSG00000000339	Rtca	26.3608	60.1994	51.9363	50.582	53.7256	45.8557	29.8414	30.4294	27.6717	28.5702
ENSMUSG00000000340	Dbt	6.43097	8.41509	9.74044	9.35112	6.82982	9.61042	8.33888	10.1236	16.1598	20.5374
ENSMUSG00000000346	Dazap2	55.3877	97.4089	95.6131	87.2561	66.8513	50.8137	32.3228	35.2022	37.0493	43.3249
ENSMUSG00000000355	Mcts1	40.8468	50.653	43.3696	42.4765	55.3833	36.849	26.3578	28.4536	35.4202	35.032
ENSMUSG00000000359	Rem1	2.66749	0.615479	1.55012	0.233556	0	0.213375	0.062326	0	0	0.0348541
ENSMUSG00000000365	Rnf17	0.345787	0.582481	0.743291	1.01712	0.937453	1.95982	3.44775	3.36957	14.0206	32.0159
ENSMUSG00000000374	Trappc10	7.38446	9.8301	7.0735	7.51201	9.51087	8.21804	6.30021	5.68836	6.51642	4.69601
ENSMUSG00000000378	Ccm2	27.2276	23.2311	12.6527	10.1324	14.7909	11.6796	10.3844	10.8387	10.1023	10.4332
ENSMUSG00000000381	Wap	0.0938819	0	0.0991597	0.127097	0	0.108273	0.204937	0	0.209446	0
ENSMUSG00000000384	Tbrg4	17.7508	45.4027	33.1036	38.4695	67.9339	46.5516	29.8162	42.6722	35.7906	38.8931
ENSMUSG00000000385	Tmprss2	0.0820091	0.0508339	0	0	0	0.0296772	0	2.29207	0.488492	0.0150343
ENSMUSG00000000386	Mx1	0.212721	0.313553	0.273919	0.239878	0.356615	0.316905	0.455993	0.451552	0.483654	0.176622
ENSMUSG00000000392	Fap	7.41424	1.45839	1.23338	4.55008	3.01948	2.14487	2.32238	3.14039	1.29828	2.98495
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	39.9541	46.5378	51.9468	48.4028	57.6047	48.7737	38.9829	40.5669	45.6006	44.4631
ENSMUSG00000000402	Egfl6	3.38952	0.486232	0.661273	1.33836	1.10294	1.07267	2.89468	5.75575	3.61514	6.28645
ENSMUSG00000000409	Lck	1.55073	0.959265	1.77284	2.49994	3.42762	9.75525	8.31436	13.6089	9.4468	25.2551
ENSMUSG00000000411	Tssk3	0.03113	0	0	0.255403	0.117649	0.0392286	0.0714591	0	0.0759441	0.0398839
ENSMUSG00000000416	Cttnbp2	0.244163	0.288115	0.249313	0.128497	0.196925	0.173937	0.0905155	0.196496	0.212363	0.380366
ENSMUSG00000000420	Galnt1	44.2153	39.7503	30.6683	30.5389	29.973	30.4576	31.5287	48.9616	53.6523	33.5886
ENSMUSG00000000435	Myf5	0.072896	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	8.36899	8.32738	13.746	13.5322	9.34649	17.3306	19.8721	14.7735	15.4416	16.0339
ENSMUSG00000000440	Pparg	2.75519	1.78625	1.17141	0.423925	0.416709	0.234633	0.447564	1.78941	1.13575	0.0278826
ENSMUSG00000000441	Raf1	18.4888	22.332	21.8108	24.0484	32.5876	30.9306	23.1987	27.6776	36.1644	26.2073
ENSMUSG00000000486	1-Sep	1.04214	1.79124	3.92314	3.91475	4.53986	22.734	124.024	101.509	163.141	363.196
ENSMUSG00000000489	Pdgfb	0.78952	1.67098	2.46021	4.83755	8.90031	3.64412	1.24726	1.12335	0.827446	0.833343
ENSMUSG00000000530	Acvrl1	39.3442	14.9972	12.286	8.33223	8.14379	7.23241	2.57631	1.20845	1.98751	4.21128
ENSMUSG00000000531	Grasp	5.1591	4.15331	6.00595	3.80925	1.3911	2.24682	1.69261	1.99407	4.65307	9.05796
ENSMUSG00000000532	Acvr1b	3.85066	5.45087	8.15958	10.8098	6.45074	14.3851	10.3586	9.63129	14.513	12.5732
ENSMUSG00000000538	Tom1l2	11.9734	5.4517	7.65502	8.12074	2.63445	3.30159	4.31272	3.10771	3.66548	3.36724
ENSMUSG00000000544	Gpa33	0.572544	0.44111	0.599938	1.52774	4.29036	28.6237	54.0617	39.8912	64.3306	45.6386
ENSMUSG00000000552	Zfp385a	12.1944	13.3899	22.1476	23.7513	19.9958	21.1924	14.154	7.44834	5.84502	5.8475
ENSMUSG00000000555	Itga5	52.5185	16.8487	12.7318	7.45026	3.80772	7.05096	5.49827	4.85133	7.71796	10.4151
ENSMUSG00000000560	Gabra2	0.157975	0.40572	1.20194	3.52679	0.504054	0.0375272	0.0931951	0.0794059	0.112834	0.0195463
ENSMUSG00000000561	Wdr77	20.9572	62.3907	38.2353	36.3079	61.6441	40.7016	35.9242	42.4154	39.3463	48.6426
ENSMUSG00000000562	Adora3	0.121864	0.113511	0.112842	0.170996	0.153394	0.084312	0.112913	0.159518	0.215547	0.207635
ENSMUSG00000000563	Atp5f1	122.498	187.619	171.938	202.725	229.47	169.686	133.759	134.165	173.449	182.328
ENSMUSG00000000567	Sox9	3.45841	0.620101	0.434346	0.485128	0.626747	0.241367	0.272339	0.179054	0.269039	0.156864
ENSMUSG00000000568	Hnrnpd	184.612	336.009	270.072	317.723	349.909	434.393	329.737	428.758	488.926	514.22
ENSMUSG00000000579	Dynlt1c	16.1457	12.0675	29.2474	37.507	25.0232	36.9869	40.6915	40.6822	73.7289	36.7872
ENSMUSG00000000581	C1d	16.2829	19.4793	16.7534	19.7806	18.4199	12.9891	11.1004	10.6273	17.328	14.0301
ENSMUSG00000000594	Gm2a	9.25694	6.68002	7.89682	8.24365	10.9004	12.0536	11.8364	11.4121	14.5062	13.4412
ENSMUSG00000000600	Krit1	12.1897	10.7527	11.8602	12.2049	10.9645	8.75142	9.93398	8.87087	11.1269	9.16156
ENSMUSG00000000605	Clcn4-2	14.9638	7.221	4.68078	5.06695	6.20365	4.49693	2.6108	4.0696	2.53026	1.28352
ENSMUSG00000000606	Vmn2r88	0.00671855	0.00728469	0.00360201	0.018426	0.00849044	0	0	0.0239247	0.0490743	0.0437795
ENSMUSG00000000617	Grm6	0.00223453	0	0.0269948	0.0459846	0.0141264	0.0481258	0.0763068	0.105809	0.0616741	0.0286797
ENSMUSG00000000627	Sema4f	0.352015	0.266582	0.124456	0.272588	0.0708181	0.15912	0.103083	0.14719	0.237207	0.529929
ENSMUSG00000000628	Hk2	20.7802	45.3933	44.3753	43.3147	32.2208	58.6809	47.6604	44.144	52.9282	120.35
ENSMUSG00000000631	Myo18a	12.886	5.80809	7.46769	5.6417	3.3909	5.00286	6.68623	8.38005	17.5803	31.1474
ENSMUSG00000000632	Sez6	0.539594	0.41352	0.691633	0.569512	0.82952	0.7882	0.35608	0.637256	0.933391	0.612643
ENSMUSG00000000673	Haao	0.0656164	0.176973	0.105134	0	0.123955	0.289277	0.15073	0.158427	0.0800013	0.0840563
ENSMUSG00000000682	Cd52	11.1328	14.2118	4.74495	0.259684	0.119481	0.18416	0	0	0.804861	1.36282
ENSMUSG00000000686	Abhd15	0.0561198	0.653055	0.664773	0.0577114	0.240808	0.0355182	0.283958	0.284848	0.572697	1.69333
ENSMUSG00000000690	Hoxb6	8.55453	4.00766	4.35089	4.12277	1.48052	2.00286	0.398505	0.307637	0.184929	0.0202199
ENSMUSG00000000693	Loxl3	32.9143	5.65273	9.66024	5.12781	3.47045	1.02188	1.56986	1.36843	0.673854	0.608138
ENSMUSG00000000701	Tcl1b5	0	0.0425749	0	0	0	0.0497081	0	0.0212361	0.0481099	0.0506138
ENSMUSG00000000706	Btn1a1	0.0149009	0.158755	1.24299	1.2031	0.300299	0.580824	0.193528	0.371326	0.0943813	0.178732
ENSMUSG00000000708	Kat2b	10.3501	7.26042	7.6647	9.24069	8.84954	14.2745	41.6012	45.1405	54.9289	37.0275
ENSMUSG00000000711	Rab5b	25.8519	18.8221	19.5538	20.3574	16.364	29.9898	25.7208	27.5346	32.9604	25.4054
ENSMUSG00000000724	Cryba1	0.18319	0.166854	0.192488	0.151213	0.153645	0.509574	0.366681	0.28982	0.40187	0.441848
ENSMUSG00000000730	Dnmt3l	1.15776	0.541031	0.0332922	0.321885	0.972657	4.91448	32.2881	17.4565	71.2925	137.075
ENSMUSG00000000731	Aire	0.245758	0.450023	0.457628	0.812323	0.455731	1.23758	5.1977	3.77441	30.6641	38.4452
ENSMUSG00000000732	Icosl	0.486887	0.175967	0.116108	0.204003	0.153821	0.205461	0.708785	0.433908	3.64708	2.56827
ENSMUSG00000000751	Rpa1	24.2384	57.9558	48.8239	47.6309	49.3575	60.9827	50.0685	57.3899	67.0827	84.7996
ENSMUSG00000000753	Serpinf1	762.986	226.425	63.7023	7.31559	1.94405	1.82479	2.60718	3.88619	4.69326	7.28712
ENSMUSG00000000759	Tubgcp3	13.3978	18.8844	19.7164	24.5127	24.243	22.935	15.0312	13.0011	17.5286	11.032
ENSMUSG00000000766	Oprm1	0.0434945	0.0394168	0.0631336	0.0567532	0.0915147	0.14072	0.120562	0.0891597	0.212125	0.0478323
ENSMUSG00000000776	Polr3d	29.1815	36.5211	30.2171	33.1429	50.8477	44.1336	35.1781	29.3391	22.272	22.1026
ENSMUSG00000000782	Tcf7	3.50995	1.29982	1.07694	1.53644	1.80341	2.59606	4.14482	6.75523	16.9422	18.1483
ENSMUSG00000000787	Ddx3x	263.758	394.439	242.89	259.79	425.365	356.134	473.742	433.799	246.495	391.017
ENSMUSG00000000791	Il12rb1	0.038833	0.0982582	0.0138927	0.0532551	0.0817979	0.278623	0.0589747	0.145337	0.0793445	0.0498283
ENSMUSG00000000792	Slc5a5	0.126884	0.0275206	0.081713	0.12181	0.176406	0.128533	0.144506	2.54387	0.808926	0.244221
ENSMUSG00000000794	Kcnn3	0.259957	0.0139807	0.179881	0.282889	0.146647	1.08407	0.146841	0.288097	0.158299	0.148886
ENSMUSG00000000804	Usp32	23.6774	26.7572	24.2117	17.6226	11.4058	14.8366	18.9615	21.2446	24.4761	22.1743
ENSMUSG00000000805	Car4	0.122096	0	0	0.1759	0	0	1.4838	2.95077	3.17335	0.154006
ENSMUSG00000000811	Txnrd3	2.96566	16.3007	9.32608	8.18789	4.44454	4.1868	1.71143	1.22082	2.04297	3.35069
ENSMUSG00000000817	Fasl	0	0	0	0	0.0249077	0	0.0450773	0	0	0
ENSMUSG00000000823	Znf512b	21.52	19.5523	18.7638	27.8885	23.1081	15.6424	17.6974	20.557	15.808	15.1314
ENSMUSG00000000826	Dnajc5	36.5267	33.0936	19.3739	13.8218	27.8898	23.8882	19.4334	30.5005	24.0241	22.0914
ENSMUSG00000000827	Tpd52l2	56.8808	88.9649	104.63	96.9055	77.4064	90.9568	71.0854	61.0775	74.2189	78.226
ENSMUSG00000000838	Fmr1	46.6259	75.5981	43.6128	51.0743	53.2993	52.1841	38.0108	38.7732	46.4125	32.081
ENSMUSG00000000861	Bcl11a	1.09118	6.44899	10.2194	9.8744	1.52307	1.96336	0.623067	0.486251	0.416656	0.145294
ENSMUSG00000000869	Il4	2.49281	0.190077	1.60409	1.77742	0.222894	0.887615	0.84128	0.581281	1.61266	2.83335
ENSMUSG00000000876	Pxmp4	8.64595	7.75035	11.9603	10.9746	9.09218	11.2276	9.8311	7.86094	5.21001	11.4733
ENSMUSG00000000881	Dlg3	14.2297	6.82428	9.08766	6.11166	2.60688	8.60845	7.8203	10.9379	10.416	8.28346
ENSMUSG00000000884	Gnb1l	1.01775	3.88322	6.93692	7.04513	4.49498	4.92321	4.72009	3.51108	3.02223	3.0694
ENSMUSG00000000889	Dbh	0.0440143	0	0	0	0	0.0371359	0	0.0235398	0	0.0188228
ENSMUSG00000000901	Mmp11	42.2892	12.9695	21.4246	8.21641	3.20109	7.46381	6.73136	8.69078	11.6644	14.7005
ENSMUSG00000000902	Smarcb1	29.9493	38.7053	41.3663	41.0847	35.781	38.2025	39.5247	34.0313	34.2968	32.1548
ENSMUSG00000000903	Vpreb3	0.663372	1.04348	1.40348	2.20238	2.45357	2.31202	3.46498	3.17853	1.74276	2.31169
ENSMUSG00000000915	Hip1r	2.24311	2.99877	5.19324	6.23636	4.97834	6.36257	5.78106	9.40547	8.64513	3.35614
ENSMUSG00000000916	Nsun5	5.25195	10.2401	8.33695	10.2514	12.2428	10.2144	5.18056	5.85465	8.63492	7.89009
ENSMUSG00000000934	Top1mt	6.28852	10.4166	14.7023	12.0543	6.13705	8.1759	3.16746	2.06505	3.761	3.24632
ENSMUSG00000000938	Hoxa10	4.92446	3.14733	3.12235	2.3644	1.71594	2.58682	0.879504	0.627802	0.531261	0.375491
ENSMUSG00000000942	Hoxa4	2.12096	0.975254	1.74825	1.16801	0.522723	0.861709	0.279014	0.431005	0.297925	0.0937555
ENSMUSG00000000948	Snrpn	9.24896	14.4162	18.5878	29.9139	35.7524	38.3376	30.0186	37.7875	35.001	62.7378
ENSMUSG00000000957	Mmp14	221.922	46.2707	35.0372	17.0475	5.55658	4.065	3.35776	5.90087	6.40303	6.72108
ENSMUSG00000000958	Slc7a7	3.90844	1.81966	1.55467	0.557403	1.25062	3.17577	2.78535	4.25858	3.63763	14.4722
ENSMUSG00000000959	Oxa1l	18.921	29.6567	35.2681	29.3855	26.4079	28.6223	21.3318	22.6978	26.1545	26.4176
ENSMUSG00000000976	Heatr6	5.53092	9.76288	12.4607	10.5909	11.4676	8.64343	5.98615	7.19177	9.06399	6.19054
ENSMUSG00000000982	Ccl3	6.43454	5.92195	3.50758	0.775441	0.0714076	0	0	0	0	0
ENSMUSG00000000983	Wfdc18	0.0941139	0.0999828	0	0.125009	0	0.0574813	0	0	0	0.0585936
ENSMUSG00000001014	Icam4	0.0463907	0.0498727	0.444533	0.189841	0	0.291138	0.107181	0.149704	0.0563499	0.712329
ENSMUSG00000001016	Ilf2	35.0102	95.1749	84.1869	90.1524	101.378	105.874	101.017	86.2052	86.4456	120.524
ENSMUSG00000001017	Chtop	43.1971	65.0216	56.1297	60.2325	85.6982	69.7524	59.4193	67.4376	65.3916	76.115
ENSMUSG00000001018	Snapin	49.9295	23.4074	29.3584	29.0582	17.6428	23.5767	31.2312	38.9159	27.7278	30.0766
ENSMUSG00000001020	S100a4	452.912	247.707	146.027	42.7285	16.8495	5.95929	6.64133	7.89562	8.46701	6.40572
ENSMUSG00000001021	S100a3	0.561391	2.33743	3.10957	4.3284	7.50209	2.88485	1.88631	0.908391	1.05612	0.239132
ENSMUSG00000001023	S100a5	0.127759	0	0	0	0.158222	0.152373	0	0.209131	0	0
ENSMUSG00000001025	S100a6	2537.53	2855.67	3566.38	2592.28	1436.85	1319.74	772.86	330.059	155.098	58.19
ENSMUSG00000001027	Scn4a	0	0	0	0.00751172	0	0	0	0	0	0.0280973
ENSMUSG00000001027	Scn4a	0.00547091	0	0.248775	0.160248	0.00692357	0.0152694	0.0124239	0.0175273	0.00672088	0.151138
ENSMUSG00000001029	Icam2	0.155378	0.112389	0.0937524	0	0	0.812351	0.345329	0.935532	0.677007	0.859918
ENSMUSG00000001034	Mapk7	10.8783	6.28107	8.40923	9.95414	8.14836	12.1101	11.3096	12.2129	16.0158	13.189
ENSMUSG00000001036	Epn2	9.68477	15.327	14.0566	26.6685	21.5205	34.1516	23.2179	20.3549	23.2407	19.4553
ENSMUSG00000001039	B9d1	6.58725	4.26483	5.92922	3.95532	4.95834	6.6277	7.6196	9.82822	9.26789	15.3271
ENSMUSG00000001052	Sec24b	77.8081	91.0458	86.1372	95.4096	77.4138	102.581	89.9147	62.0491	50.7286	29.6469
ENSMUSG00000001053	N4bp3	0.559438	1.58876	1.7491	2.35288	6.95334	6.39191	4.1688	3.85038	5.08334	10.2207
ENSMUSG00000001054	Rmnd5b	16.1342	14.717	10.6361	12.3231	20.6298	20.1368	15.1624	21.4981	17.9624	32.6183
ENSMUSG00000001056	Nhp2	45.4534	201.164	133.412	118.446	180.479	187.355	165.128	143.887	92.264	178.672
ENSMUSG00000001076	C1ql4	0.0484939	0.104211	0	0	0	0.182503	0.448562	0.391373	0.353224	0.186123
ENSMUSG00000001082	Mfsd10	13.4108	28.6589	20.9067	18.6436	43.7877	36.3294	20.5463	19.2637	28.7581	34.4236
ENSMUSG00000001089	Luzp1	28.4361	25.4707	21.0127	22.9569	23.8	27.3761	22.8862	20.0746	24.5411	21.6787
ENSMUSG00000001095	Slc13a2	0	0	0	0	0	0.0591315	0	0.124991	0.0381671	0.0199843
ENSMUSG00000001098	Kctd10	80.7072	26.7536	32.5691	23.2635	24.3275	15.0425	11.1167	16.1073	9.09904	11.738
ENSMUSG00000001100	Poldip2	35.9935	101.581	112.931	101.114	93.0591	98.2592	60.7304	56.3632	53.5353	72.3318
ENSMUSG00000001103	Sebox	0	0	0	0	0.0770703	0.0770989	0.140392	0.0492078	0.0746298	0.0391841
ENSMUSG00000001105	Ift20	61.2096	40.1694	31.8301	25.8984	38.409	22.5717	31.6515	30.4554	35.4433	34.3079
ENSMUSG00000001119	Col6a1	138.953	56.3917	46.9111	10.7561	2.98078	2.26308	2.05055	2.43262	3.30887	0.721916
ENSMUSG00000001120	Pcbp3	8.53803	3.96436	6.05744	5.21666	2.88603	4.26162	4.43213	1.12382	3.31433	8.46674
ENSMUSG00000001123	Lgals9	35.1992	34.3342	27.4852	15.7464	4.45996	4.56151	5.53105	22.257	19.0526	1.45229
ENSMUSG00000001127	Araf	30.9839	26.9832	35.8242	42.6288	29.3505	33.7858	21.7612	30.2313	47.6342	33.1847
ENSMUSG00000001128	Cfp	3.55375	7.10532	3.89384	1.26492	1.81714	3.80668	2.49384	1.55239	4.59929	3.46747
ENSMUSG00000001131	Timp1	158.01	305.078	95.2202	64.4436	55.437	45.1233	24.4597	18.7433	23.7504	21.3337
ENSMUSG00000001134	Uxt	17.5139	19.3382	18.6709	19.303	19.1009	22.7562	17.8609	14.4767	24.2403	21.3567
ENSMUSG00000001138	Cnnm3	2.16037	3.46559	4.35959	5.96944	2.11521	3.00137	2.096	3.21676	3.97232	4.52066
ENSMUSG00000001143	Lman2l	12.5298	9.13275	10.3441	10.6783	11.2656	16.9269	11.9669	13.1437	11.8471	12.888
ENSMUSG00000001150	Mcm3ap	8.86421	13.9908	14.4232	16.9112	18.5884	29.1177	33.3336	25.123	31.1439	25.0947
ENSMUSG00000001151	Pcnt	4.17529	11.3872	15.1645	17.6061	19.3422	20.7151	24.1652	21.7211	25.1968	22.2578
ENSMUSG00000001155	Ftcd	0.0658887	0.0484038	0.0606813	0.08703	0.0255199	0.0920434	0.0290482	0.0102271	0.0416925	0
ENSMUSG00000001156	Mxd1	2.63411	0.823275	1.76386	3.12186	2.29393	1.2784	1.35033	2.27971	2.25505	1.52513
ENSMUSG00000001157	Gmcl1	8.64417	8.36348	8.10136	9.65124	7.34942	9.13315	8.61553	9.41593	13.4437	12.0185
ENSMUSG00000001158	Snrnp27	51.2416	75.1185	77.745	109.5	118.512	118.24	136.431	96.4617	69.0439	80.4363
ENSMUSG00000001166	Oas1c	0.93257	0.720642	1.29523	0.739368	0.329826	0.737405	0.889313	0.45784	0.866678	1.00752
ENSMUSG00000001168	Oas1h	0	0.0330707	0	0.0831985	0.0383584	0.0784416	0	0.0725758	0.131809	0.155566
ENSMUSG00000001173	Ocrl	15.6329	10.7564	15.3671	13.1982	11.3899	14.1083	17.2858	16.9789	19.4066	15.7701
ENSMUSG00000001175	Calm1	485.648	631.953	351.771	269.792	322.687	292.431	199.65	223.34	158.812	272.742
ENSMUSG00000001211	Agpat3	33.3598	38.8264	42.4642	40.084	31.0059	30.3607	25.1534	24.3629	17.8382	14.7531
ENSMUSG00000001225	Slc26a3	0.638024	0.517956	0.824089	1.14896	0.819669	1.24252	1.3027	1.03386	0.948786	1.03918
