Gene ID	Symbol	MEF	Day2	Day4	Day6	Day8	IPS
ENSMUSG00000001228	Uhrf1	1.50034	3.75601	9.60171	3.13241	1.12647	108.102
ENSMUSG00000001229	Dpp9	13.6279	19.4398	15.087	15.54	12.9939	11.6796
ENSMUSG00000001240	Ramp2	5.83317	8.83742	6.17786	7.93397	4.87526	1.4051
ENSMUSG00000001247	Lsr	1.04833	0.483571	0.396305	0	0.166345	25.6278
ENSMUSG00000001248	Gramd1a	30.208	29.2081	33.0755	28.1083	27.8488	19.7854
ENSMUSG00000001249	Hpn	1.44945	1.91633	2.10871	1.25738	3.735	5.33943
ENSMUSG00000001260	Gabrg1	0	0	0	0	0	0.0163317
ENSMUSG00000001270	Ckb	42.8266	34.6491	29.7318	28.1116	20.5072	236.265
ENSMUSG00000001280	Sp1	11.0955	9.94648	9.07239	6.67924	6.33379	15.1193
ENSMUSG00000001281	Itgb7	0.267187	0.250624	0.06189	0	0.0605143	7.17198
ENSMUSG00000001285	Myg1	25.6774	31.5177	27.5176	19.1602	16.8346	49.2157
ENSMUSG00000001288	Rarg	51.1885	60.9405	51.4304	46.1514	49.5591	30.0444
ENSMUSG00000001289	Pfdn5	208.584	234.842	161.374	216.181	202.639	179.454
ENSMUSG00000001300	Efnb2	8.38487	10.3274	10.6433	8.8035	9.37623	0.633465
ENSMUSG00000001305	Rrp15	11.3276	13.9694	8.88375	11.9869	14.3019	68.9206
ENSMUSG00000001313	Rnd2	4.95749	3.405	4.86714	5.61441	6.97468	14.5245
ENSMUSG00000001323	Srr	16.6634	16.5508	12.2202	9.44948	10.6738	0.838121
ENSMUSG00000001333	Sync	1.42502	1.67465	1.6713	2.07013	1.3636	0.17561
ENSMUSG00000001334	Fndc5	1.28766	0.96776	0.298742	0.419927	0.408929	0.174557
ENSMUSG00000001348	Acp5	19.1821	10.2608	13.8071	18.9276	13.1029	14.2363
ENSMUSG00000001349	Cnn1	49.7702	83.1285	40.3594	30.3181	21.9858	0.343766
ENSMUSG00000001366	Fbxo9	11.5783	16.9938	10.5478	14.0758	12.066	9.46464
ENSMUSG00000001376	Ccdc132	9.86432	10.1399	9.98011	10.3663	10.1908	18.4725
ENSMUSG00000001379	Apbb3	4.92101	5.9929	5.05396	5.11328	6.51043	6.20415
ENSMUSG00000001380	Hars	24.9682	32.7382	34.3392	31.0802	27.7725	57.3138
ENSMUSG00000001383	Zmat2	31.0037	35.0071	29.5854	34.5633	29.4969	66.021
ENSMUSG00000001403	Ube2c	7.03093	22.4975	64.2531	17.2264	10.5744	443.878
ENSMUSG00000001415	Smg5	11.591	12.494	12.3757	11.5804	12.3695	30.8453
ENSMUSG00000001416	Cct3	50.095	77.2024	60.2102	63.9015	63.5883	326.232
ENSMUSG00000001417	Rhbg	8.72195e-132	2.0195e-88	0.0440073	4.71716e-78	0	0.552682
ENSMUSG00000001418	0610031J06Rik	223.858	232.734	200.871	393.502	359.288	165.61
ENSMUSG00000001419	Mef2d	22.6963	19.1591	13.3962	14.121	12.5883	8.56005
ENSMUSG00000001420	Tmem79	0.123837	0.213949	0.0858055	0.119518	0.0818176	3.31043
ENSMUSG00000001424	Snd1	59.2947	76.6669	81.4723	75.3665	60.1818	96.7749
ENSMUSG00000001435	Col18a1	28.5599	28.6876	33.0553	30.2242	20.6812	19.638
ENSMUSG00000001436	Slc19a1	10.5152	11.9242	10.3173	6.78659	7.87558	9.38286
ENSMUSG00000001440	Kpnb1	58.8388	74.6798	75.3704	63.6193	51.8684	185.381
ENSMUSG00000001441	Npepps	35.2304	30.8731	42.0866	30.4028	33.1339	44.3906
ENSMUSG00000001444	Tbx21	0	0	0	0	0	0.130316
ENSMUSG00000001445	Mrpl10	27.4985	31.4634	31.4397	33.7442	33.5973	58.0981
ENSMUSG00000001467	Cyp51	4.50023	11.2609	24.3349	29.7941	24.2987	23.3423
ENSMUSG00000001473	Tubb6	55.6014	73.0064	152.938	81.6049	67.3931	27.836
ENSMUSG00000001493	Meox1	3.14395	4.54573	0.150882	0	0	0.0367418
ENSMUSG00000001494	Sost	0.157052	0.0830124	0	0	0	0
ENSMUSG00000001496	Nkx2-1	0	0.00541854	0	0	0.0122098	0
ENSMUSG00000001497	Pax9	1.68439	1.67307	1.46218	0.923511	1.16234	0.018807
ENSMUSG00000001504	Irx2	6.94846	8.64927	4.81159	6.84156	11.9162	0.974806
ENSMUSG00000001506	Col1a1	1465.99	1354.19	3163.36	2836.58	2845.63	11.2469
ENSMUSG00000001507	Itga3	1.70489	3.3125	2.82996	1.61281	1.85843	5.3092
ENSMUSG00000001508	Sgca	0.684215	0.305706	0.820066	1.03605	0.680062	0.391148
ENSMUSG00000001510	Dlx3	0.0300898	0.254421	0.0314131	0	0	0.0917782
ENSMUSG00000001517	Foxm1	2.65135	6.09253	13.2658	3.3488	2.67084	22.1095
ENSMUSG00000001518	Itfg2	7.91385	11.3485	10.3961	9.2056	10.2417	17.2622
ENSMUSG00000001520	Nrip2	2.52318	4.35811	1.96802	0.763257	0.777072	0.218964
ENSMUSG00000001521	Tulp3	16.8748	25.772	22.1376	23.4805	21.4807	33.1587
ENSMUSG00000001524	Gtf2h4	10.757	10.6304	9.96944	12.4697	11.3186	46.8047
ENSMUSG00000001525	Tubb5	403.558	492.964	908.804	292.06	258.647	1076.93
ENSMUSG00000001542	Ell2	28.1894	25.4799	30.6144	24.839	22.2979	8.69112
ENSMUSG00000001552	Jup	7.26998	9.4364	14.2915	8.44991	11.43	81.7001
ENSMUSG00000001555	Fkbp10	120.078	160.698	211.921	140.369	124.842	10.8361
ENSMUSG00000001558	Klhl10	0.685402	0.426222	0.420793	0.532541	0.16463	0.327939
ENSMUSG00000001566	Mnx1	0	0	0	0	0	0.328908
ENSMUSG00000001569	Nom1	8.73472	13.2864	7.28611	11.9119	6.74904	16.0899
ENSMUSG00000001576	Ergic1	53.137	77.5326	57.2249	60.4998	53.1556	49.9409
ENSMUSG00000001583	Tnk1	4.43918e-204	0.197412	0.0818032	2.70303e-88	0.0685521	7.28459
ENSMUSG00000001588	Acap1	0.0388464	0.0410656	0.0276191	0	0	3.46241
ENSMUSG00000001604	Tcea3	18.4545	24.6807	19.4993	31.884	38.7485	33.4411
ENSMUSG00000001622	Csn3	0	0	0	0	0	0
ENSMUSG00000001627	Ifrd1	32.4749	46.6908	29.1691	36.2289	35.2435	93.0315
ENSMUSG00000001630	Stk38l	3.66789	3.7269	3.31971	3.2861	2.66551	3.42126
ENSMUSG00000001632	Brpf1	11.5278	10.8564	9.73062	7.94259	9.55934	13.7701
ENSMUSG00000001642	Akr1b3	17.6986	24.5725	46.0251	63.6455	54.0772	121.304
ENSMUSG00000001655	Hoxc13	0.551222	0.685446	0.270789	0.666194	0.264793	3.8901
ENSMUSG00000001656	Hoxc11	2.0517	3.01955	1.3016	2.47975	1.39629	0.0818054
ENSMUSG00000001657	Hoxc8	3.80618	3.8018	3.53565	4.20221	4.27747	0.106509
ENSMUSG00000001661	Hoxc6	6.5636	10.5465	7.29154	8.9073	8.99943	0
ENSMUSG00000001663	Gstt1	30.5681	44.7584	40.4729	51.0198	48.7522	0.993345
ENSMUSG00000001665	Gstt3	12.953	14.3786	18.4786	17.2678	17.8956	2.92523
ENSMUSG00000001666	Ddt	45.3629	46.7772	50.8346	59.2112	52.7271	182.886
ENSMUSG00000001670	Tat	0	0	0	0	0	0
ENSMUSG00000001672	Marveld3	0	0	0	0	0	0.946356
ENSMUSG00000001674	Ddx18	15.6198	14.9412	14.6321	10.5382	10.0379	39.0157
ENSMUSG00000001687	Ubl3	26.2083	23.9785	20.682	23.1015	20.5521	19.5652
ENSMUSG00000001700	Gramd3	5.9606	7.57284	8.76903	8.92641	7.81183	0.526977
ENSMUSG00000001707	Eef1e1	15.2076	21.0557	13.9331	15.1191	14.3191	90.0173
ENSMUSG00000001729	Akt1	125.912	145.415	124.935	129.809	120.111	17.1576
ENSMUSG00000001739	Cldn15	0.710084	0.727899	0.602081	0.325661	0.52713	0.0451088
ENSMUSG00000001741	Il16	2.03211	2.0085	1.60112	1.91383	2.60922	0.0250056
ENSMUSG00000001750	Tcirg1	73.7948	46.0136	67.3648	82.4556	72.8709	8.27002
ENSMUSG00000001751	Naglu	43.869	37.1233	28.1366	48.0797	39.3578	2.1164
ENSMUSG00000001755	Coasy	11.5314	12.3333	12.4373	16.1703	11.8921	18.8321
ENSMUSG00000001761	Smo	48.2641	58.6072	58.8263	48.2704	43.7078	7.68315
ENSMUSG00000001763	Tspan33	1.12574	0.305004	0.301103	0.241924	0.252393	2.28472
ENSMUSG00000001767	Crnkl1	11.8824	11.3225	8.69095	10.1913	9.49056	20.2539
ENSMUSG00000001768	Rin2	28.8612	23.8584	24.6571	32.0678	31.4965	1.10935
ENSMUSG00000001773	Folh1	0	0	0	0	0	0
