Gene ID	Symbol	MEF	Day1	Day2	Day3	Day4	Day5	Day6	Day7	Day8	IPS	ES
ENSMUSG00000000125	Wnt3	0.165808	0.332593	0.40186	0.247298	0.469717	0.0955597	0.0537803	0.051971	0.106797	0.483434	0.0609518
ENSMUSG00000000126	Wnt9a	5.64167	0.993263	0.543659	0.281992	0.798409	0.142494	0.322676	0.767577	0.566841	0.464334	0.161716
ENSMUSG00000000127	Fer	8.70227	11.8849	13.2042	15.8022	12.9766	14.1479	12.5384	9.46897	7.55264	7.2224	9.14172
ENSMUSG00000000131	Xpo6	29.0857	101.134	59.6757	71.2484	55.4552	50.7385	46.4233	45.264	65.6299	39.4733	63.549
ENSMUSG00000000134	Tfe3	19.2331	31.1695	44.6724	43.2518	50.0137	53.7777	48.8586	49.3806	46.5528	21.6206	23.4692
ENSMUSG00000000142	Axin2	4.12417	0.586208	0.108307	0.124321	0.0454957	0.142277	0.0909529	0.427164	3.16475	3.97811	1.1544
ENSMUSG00000000148	Brat1	7.96915	5.38926	7.3927	8.02575	3.14326	8.71305	6.56923	7.93045	9.2563	7.30834	3.85374
ENSMUSG00000000149	Gna12	28.9453	37.2387	35.4064	20.6081	18.0458	17.6069	17.3615	19.4029	18.3198	12.7136	6.80857
ENSMUSG00000000154	Slc22a18	0.31703	0.100196	0.059437	0.106644	0.0503926	0.100543	0.0860074	0.252004	1.07992	0.564672	0.729135
ENSMUSG00000000157	Itgb2l	0.257677	0.0157192	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0.032819	4.93E-08	1.76E-08	0	0	0	0	0.0642021	0.0615803	0.184818	0.0959651
ENSMUSG00000000167	Pih1d2	0.296329	1.36958	1.10382	1.71853	0.634703	1.79013	2.00391	2.05927	2.04084	1.77155	1.49437
ENSMUSG00000000168	Dlat	31.4845	48.0892	57.8353	63.6755	69.1289	56.7079	52.532	36.4022	25.6718	37.8741	32.5363
ENSMUSG00000000171	Sdhd	95.3818	177.433	181.725	198.53	209.72	151.866	143.948	102.034	86.2299	109.355	144.475
ENSMUSG00000000182	Fgf23	0.213429	0.0461356	0.18371	0.128616	0.158111	0.0259959	0.0475669	0.0656483	0.125929	0.0462193	0.0269313
ENSMUSG00000000183	Fgf6	0.0206831	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	53.1459	73.315	78.405	46.1308	18.6845	18.733	11.1562	1.4507	0.598296	2.39662	2.00169
ENSMUSG00000000194	Gpr107	27.5555	17.8595	15.0218	13.4318	18.6999	19.2167	22.5028	26.5645	29.4548	27.4762	16.1061
ENSMUSG00000000197	Nalcn	0.270945	0.0763737	0.0521846	0.0121704	0.00312033	0.00307497	0.00749696	0.074533	0.133999	0.147544	0.0510138
ENSMUSG00000000202	Btbd17	0.170042	0.0367742	0	0	0	0	0	0.233849	0.117431	0.171917	0.095761
ENSMUSG00000000204	Slfn4	0.384801	0.678426	0.0512903	0.00557194	0.00613219	0.0120907	0.0221133	0.172492	0.336911	0.660761	0.0819226
ENSMUSG00000000214	Th	0.19963	0.0341859	0	0	0	0	0	0	0.0316031	0.0690742	0.0262824
ENSMUSG00000000215	Ins2	0.792571	0.280943	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0.0155284	0.0201542	0.0999235	0.0224783	0.0153608	0.0378617	0.0369349	0.0305931	0.00916813	0.00672989	0
ENSMUSG00000000223	Drp2	0.60089	0.658046	1.78716	2.32707	1.56624	4.04716	3.10478	0.961857	0.600926	0.790135	0.281375
ENSMUSG00000000244	Tspan32	1.50641	0.714799	0.703901	0.284318	0.115906	0	0.129848	0.274249	0.978069	1.31093	1.2311
ENSMUSG00000000247	Lhx2	2.05377	0.371787	0.293103	0.200471	0.0730831	0.175854	0.179554	0.579202	0.627599	0.507913	0.169992
ENSMUSG00000000248	Clec2g	0.0776432	0	0.0720383	0.116684	0.00969387	0.0382491	0.0680295	0.385636	0.15632	0.00849766	0
ENSMUSG00000000253	Gmpr	16.5519	3.56454	3.79174	1.52984	1.27498	0.820096	0.660389	0.979952	0.660783	4.61165	3.14877
ENSMUSG00000000263	Glra1	0	0.0256186	0	3.67E-09	0.0271724	0.135197	0.16385	0.0137328	0.0159048	0.0116754	0
ENSMUSG00000000266	Mid2	3.58244	4.20316	2.73456	1.15478	1.57626	0.584293	0.294552	0.128528	0.103074	0.126621	0.0308365
ENSMUSG00000000275	Trim25	15.4543	26.3346	19.583	14.1355	5.4698	15.3892	14.2317	27.0207	31.1685	30.7359	28.085
ENSMUSG00000000276	Dgke	1.03789	0.836478	1.08692	1.05275	1.13718	1.43695	1.75019	3.42782	4.10904	4.60266	3.69671
ENSMUSG00000000278	Scpep1	129.449	29.303	30.0765	35.2786	45.2166	50.7654	69.805	118.016	133.427	97.2935	113.237
ENSMUSG00000000282	Mnt	6.17553	8.92893	8.08126	5.76862	3.75042	4.41908	5.81296	9.3019	10.8512	11.0226	5.58564
ENSMUSG00000000290	Itgb2	13.5541	11.987	1.91998	0.558704	0.123814	0.0523385	0	0.0447383	0.0739338	0.0610241	0.0493954
ENSMUSG00000000295	Hddc2	16.3455	48.0562	53.7669	65.0235	62.9062	49.7867	41.6172	33.4916	28.6062	31.5283	44.6999
ENSMUSG00000000296	Tpd52l1	2.45249	5.36176	2.45947	1.81261	2.36883	2.12407	2.11658	6.53601	8.55745	20.1993	6.4229
ENSMUSG00000000301	Pemt	3.09934	7.67762	6.70304	8.24405	6.55249	4.22659	5.28696	4.65312	4.79519	4.75031	5.42609
ENSMUSG00000000303	Cdh1	1.92694	1.77461	11.0245	10.6114	17.0773	29.0562	36.3913	61.8086	62.7851	72.1165	51.888
ENSMUSG00000000305	Cdh4	0.34136	0.50449	0.385442	0.43337	0.0205399	0.0991413	0.078813	0.494729	1.10184	1.24968	0.406883
ENSMUSG00000000308	Ckmt1	0.423198	0.532295	2.91549	4.21284	7.74773	4.02561	4.05904	5.17479	12.7641	21.4506	12.8293
ENSMUSG00000000317	Bcl6b	0.454171	0.314253	0.088199	0.092585	0.054236	0.0935687	0.195585	0.155259	0.121374	0.350443	1.76658
ENSMUSG00000000318	Clec10a	3.50694	0.563841	0.0389114	0.129504	0.0349607	0	0.0514045	0.0766738	0.0987141	0.329655	0.167714
ENSMUSG00000000320	Alox12	0.175287	0.308766	0.368681	0.149325	0.196568	0.0400426	0.194049	0.11628	0.403053	1.76813	0.434334
ENSMUSG00000000325	Arvcf	10.4304	3.16371	4.64049	4.67835	12.7692	12.1739	18.0829	20.2058	15.3314	10.2853	7.09448
ENSMUSG00000000326	Comt	62.692	58.8228	51.8504	46.9371	28.9174	31.032	24.9694	16.7424	18.2241	20.1844	11.455
ENSMUSG00000000339	Rtca	20.1751	62.9445	59.9566	60.6535	48.4703	52.5265	46.3472	32.1487	27.4837	24.9099	30.1512
ENSMUSG00000000340	Dbt	4.87581	7.8202	7.81294	7.10451	8.21008	12.4228	12.0189	13.4858	16.7196	17.2376	15.5197
ENSMUSG00000000346	Dazap2	75.8987	112.123	101.899	86.3333	81.7991	55.3246	50.9758	40.3676	38.2157	49.7209	45.2376
ENSMUSG00000000355	Mcts1	40.6912	67.2995	72.03	69.8433	69.27	67.3876	63.604	51.4297	49.6286	36.414	62.9786
ENSMUSG00000000359	Rem1	4.4045	1.50082	1.06948	0.786365	0.381682	0.22902	0.279385	0	0.0406409	0.110319	0.0296541
ENSMUSG00000000365	Rnf17	0.259402	0.502375	0.942418	0.870262	1.01426	2.40902	3.36842	5.1672	9.82904	18.8308	15.0193
ENSMUSG00000000374	Trappc10	7.64561	9.43212	10.705	10.1678	8.10051	10.7225	9.93891	7.59469	6.5908	6.78526	3.88559
ENSMUSG00000000378	Ccm2	37.5907	46.1495	31.4602	32.7688	11.2491	28.778	23.2598	18.8311	17.4802	22.6907	15.8882
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	14.7971	80.6649	85.8995	94.3713	72.2173	74.3953	67.3806	46.9486	54.7793	77.2401	44.6756
ENSMUSG00000000385	Tmprss2	0.0293084	0.00634022	0	0.00707142	0	0	0	0.050527	0.0692194	0.0952701	0.0148149
ENSMUSG00000000386	Mx1	0.491802	1.09232	0.175497	0.0172867	0.00857811	0.0253792	0.0562502	0.205031	0.455094	0.256746	0.0526079
ENSMUSG00000000392	Fap	15.7515	0.508392	0.197416	0.743119	0.373324	0.649764	0.426115	0.8042	1.22531	0.0345938	1.20118
ENSMUSG00000000394	Gcg	0.431013	0.0413708	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	56.8572	114.762	102.255	111.018	97.7995	100.592	100.039	88.5334	82.2824	86.4891	141.824
ENSMUSG00000000402	Egfl6	26.7052	1.45104	0.381397	0.325332	0.179549	0.236052	0.277579	1.85629	3.91456	3.34554	1.10089
ENSMUSG00000000409	Lck	2.13332	3.84962	5.49629	8.28236	6.25373	9.90893	8.77921	13.7324	16.5363	11.583	21.6464
ENSMUSG00000000411	Tssk3	0.0395696	0.017093	0.0362786	0.0190569	0	0.0192584	0	0.0583676	0.116649	0.0513755	0.0199405
ENSMUSG00000000416	Cttnbp2	0.611868	0.368941	0.0773761	0.185866	0.0413852	0.131158	0.377907	0.125837	0.252917	1.28754	0.365225
ENSMUSG00000000420	Galnt1	22.3799	24.9511	23.3637	21.6657	20.021	28.7467	33.2587	33.1988	33.6324	31.1914	20.8912
ENSMUSG00000000435	Myf5	0.126047	0.0198205	0.0105251	0	0.0113241	0	0	0	0.013525	0	0
ENSMUSG00000000439	Mkrn2	16.2603	6.85524	8.26759	9.59618	15.0522	16.4269	18.0149	19.1779	18.3626	14.1488	19.3143
ENSMUSG00000000440	Pparg	1.72915	2.06457	1.19704	0.304148	0.0677303	0.093546	0.0489053	0.107994	0.0485515	0	0.166131
ENSMUSG00000000441	Raf1	29.0609	43.499	45.8853	47.4164	41.0255	54.5164	54.9241	53.6436	54.8469	55.629	57.1399
ENSMUSG00000000486	1-Sep	3.53755	1.30157	1.80494	3.3587	5.49199	9.08281	11.7055	64.0269	156.459	227.584	237.056
ENSMUSG00000000489	Pdgfb	2.61443	5.48976	15.8937	19.1567	6.16952	14.008	7.38909	1.65276	1.25178	0.967235	0.709011
ENSMUSG00000000530	Acvrl1	8.00522	1.84878	1.54245	2.71189	3.45107	0.920085	0.81194	0.45865	0.496114	0.472954	0.371674
ENSMUSG00000000531	Grasp	4.22874	6.40886	5.97046	4.49887	4.61344	1.48397	1.76056	3.44879	5.43323	17.4045	11.1222
ENSMUSG00000000532	Acvr1b	6.35628	4.11384	5.54239	8.6595	8.24496	10.7274	11.2891	13.1464	13.7736	17.6958	6.99541
ENSMUSG00000000538	Tom1l2	13.6286	7.89739	4.52593	2.91888	2.83007	4.17445	4.49888	4.63909	5.39952	5.3524	2.71312
ENSMUSG00000000544	Gpa33	0.0319635	0.646942	1.79176	1.98326	2.19076	17.9078	24.3376	64.606	83.0543	44.3344	40.513
ENSMUSG00000000552	Zfp385a	14.2503	20.3684	26.2718	24.6639	24.7334	26.5222	24.644	12.3179	12.0996	18.8155	3.04792
ENSMUSG00000000555	Itga5	78.6467	25.4886	14.8366	9.86134	8.44306	9.48412	13.5118	15.3803	14.0953	27.9656	17.2286
ENSMUSG00000000560	Gabra2	0.177513	0.699527	0.915209	0.190278	0.0877499	0.0480743	0	0.00971166	0	0.017092	0
ENSMUSG00000000561	Wdr77	15.3153	105.895	101.712	101.408	41.0919	64.8487	58.4653	59.2881	66.4115	83.5672	84.3259
ENSMUSG00000000562	Adora3	0.250636	0.0516978	0.0193537	0	0.00984745	0	0	0	0	0	0
ENSMUSG00000000563	Atp5f1	53.6433	122.227	136.845	152.592	138.706	133.235	122.869	91.1214	85.467	99.0423	144.318
ENSMUSG00000000567	Sox9	1.91037	0.453979	0.26406	0.186555	0.114764	0.086189	0.0788126	0.103371	0.149991	0.138824	0.0614276
ENSMUSG00000000568	Hnrnpd	87.1677	273.814	322.301	350.421	233.819	321.807	306.388	311.4	321.688	297.487	475.759
ENSMUSG00000000579	Dynlt1c	11.5447	6.22423	7.58115	9.03173	13.0508	17.9002	19.1854	23.3053	21.3696	26.4589	25.7285
ENSMUSG00000000581	C1d	35.042	40.8938	38.6575	47.4974	45.1051	49.0788	38.9153	34.4431	29.8091	34.3885	46.7069
ENSMUSG00000000594	Gm2a	17.2198	6.82825	2.6205	3.68524	10.659	4.80396	8.32497	10.1155	6.69465	2.15612	4.25826
ENSMUSG00000000600	Krit1	7.21412	5.79432	5.29767	4.33079	2.91296	5.6727	6.05647	7.52415	6.77721	7.58953	5.65959
ENSMUSG00000000605	Clcn4-2	7.54056	6.7332	5.34425	5.02922	1.83361	3.94406	4.00216	3.32766	2.31106	1.31754	0.879056
ENSMUSG00000000606	Vmn2r88	0	0.0145623	0.00837451	0.00879222	0	0.0177725	0.0216733	0.0414464	0.129176	0.0291746	0.0850646
ENSMUSG00000000617	Grm6	0	0	0	0.00674173	1.27E-07	0.013627	0	0	0.00824897	0	0.042375
ENSMUSG00000000627	Sema4f	0.480781	0.595286	0.143969	0.161906	0.199199	0.599201	0.871144	0.732494	1.15522	1.20689	0.45799
ENSMUSG00000000628	Hk2	16.0743	53.0385	45.0165	64.2413	37.1767	30.3735	33.2389	47.2086	52.8542	46.9341	167.526
ENSMUSG00000000631	Myo18a	13.7481	5.73395	4.8185	4.99946	3.72151	3.86762	2.976	9.48988	11.5909	14.2364	8.83409
ENSMUSG00000000632	Sez6	1.58695	1.08718	0.922426	1.06314	0.445603	0.58182	0.548585	0.568314	0.585408	0.179998	0.102064
ENSMUSG00000000673	Haao	1.14844	0.126261	0.095697	0.060327	0.144088	1.33106	1.02927	0.718559	0.295425	0.0180714	0.0841571
ENSMUSG00000000682	Cd52	66.5183	15.6176	1.40469	0.36997	0.251321	0.0623012	0.375906	0.125982	0.226871	0.222045	0.0642665
ENSMUSG00000000686	Abhd15	0.252876	0.363448	0.172588	0.27153	0.306561	0.0685807	0.117514	0.0547574	0.0604984	0.160003	0.106613
ENSMUSG00000000690	Hoxb6	3.33574	2.74949	2.97069	3.07151	2.13261	1.19275	0.570994	0.0722673	0.0378719	0.0529969	0.0323858
ENSMUSG00000000693	Loxl3	65.7679	5.95245	3.45045	1.11338	0.503554	0.364807	0.422516	0.867584	1.08829	1.47629	1.02249
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0.846694	0.222824	0.51764	1.02924	0.805778	0.280226	0.281769	0.0603635	0.207131	0.0136128
ENSMUSG00000000708	Kat2b	5.1827	1.7328	2.49196	1.60288	2.64114	5.15325	9.40823	19.5276	20.7573	18.4252	14.5681
ENSMUSG00000000711	Rab5b	33.3175	17.8652	17.846	16.9182	26.4622	29.448	34.9776	33.157	31.2296	17.212	16.953
ENSMUSG00000000724	Cryba1	0	0.0312542	0.0166815	0	0	0	0	0.0711299	0.13975	0.0315979	0.0370908
ENSMUSG00000000730	Dnmt3l	0.475453	0.342156	0.0541505	0.0284297	0.137339	1.54819	7.95912	90.9207	100.364	12.6336	112.689
ENSMUSG00000000731	Aire	0.460402	0.041855	0.0180326	0.0440751	0.140424	0.0646667	2.89926	42.038	44.8996	5.3132	12.5722
ENSMUSG00000000732	Icosl	2.32108	0.256517	0.070074	0.130784	0.242965	0.297389	1.02752	4.38464	4.04082	1.48309	4.3664
ENSMUSG00000000751	Rpa1	25.5483	77.6304	89.5348	90.2162	83.901	117.299	104.024	97.2226	105.948	147.37	145.831
ENSMUSG00000000753	Serpinf1	496.562	84.7634	15.8154	6.44944	2.60286	1.68758	1.28212	1.56338	2.23905	7.88043	10.7379
ENSMUSG00000000759	Tubgcp3	10.665	19.8583	21.1563	21.1056	15.4587	24.9799	21.3817	13.2113	14.1328	15.4342	14.422
ENSMUSG00000000766	Oprm1	0.0233279	0.0101438	0.0257976	0	0	0	0	0.0229233	0.0169707	0.0123685	0
ENSMUSG00000000776	Polr3d	15.0055	30.0173	23.6795	24.1342	17.2536	23.5651	25.5194	21.9186	18.1221	16.8907	18.3504
ENSMUSG00000000782	Tcf7	1.87758	1.39966	0.67791	0.728762	2.08427	1.43889	2.18533	8.01974	12.3105	16.7821	13.1148
ENSMUSG00000000787	Ddx3x	59.0624	112.446	133.464	133.326	80.0968	107.896	113.703	90.2396	85.3435	119.288	117.688
ENSMUSG00000000791	Il12rb1	0.153971	0.413683	0.208571	0.656882	0.83362	0.703373	0.732431	0.399118	0.325336	0.210718	0.229349
ENSMUSG00000000792	Slc5a5	0.0238256	0.0618449	0.0584034	0.0996319	0.0392789	0.0929447	0.188897	1.26734	1.03155	0.49563	0.369276
ENSMUSG00000000794	Kcnn3	0.201771	0.00698314	0.0336071	0.0356504	0.0360508	0.22826	0.182365	0.02385	0.0858436	0.0631258	0.0960414
ENSMUSG00000000804	Usp32	7.23902	6.84256	6.35616	3.78174	3.56222	5.28182	5.84172	7.76002	7.35826	9.3752	3.72918
ENSMUSG00000000805	Car4	0.15952	0.0359723	0.167779	0.0613031	0	0.179623	0.0958551	0.417945	0.544319	0.122538	1.32478
ENSMUSG00000000811	Txnrd3	2.57174	19.2523	13.0769	14.886	4.90614	7.28364	5.98482	1.99093	3.14333	2.94118	5.21951
ENSMUSG00000000817	Fasl	0.0124223	0	0.0456308	0.0239584	0	0.0242125	0.0443008	0	0	0.0430466	0
ENSMUSG00000000823	Znf512b	14.1782	9.23243	11.4181	9.97539	4.06476	8.77767	8.35685	11.7931	14.1426	14.943	10.7341
ENSMUSG00000000826	Dnajc5	20.6533	24.7528	24.888	22.5058	27.8537	20.5258	21.0581	23.3154	20.4058	24.1975	16.9091
ENSMUSG00000000827	Tpd52l2	54.1031	129.982	113.875	101.431	116.981	104.052	113.843	90.7209	79.054	76.2229	88.9639
ENSMUSG00000000838	Fmr1	26.0356	34.6115	37.1593	37.0547	34.2148	35.7631	35.4914	30.0097	23.1362	22.8852	21.4388
ENSMUSG00000000861	Bcl11a	1.86841	5.21253	4.81704	3.21846	1.62496	1.10644	0.629361	0.335017	0.217518	0.115172	0.805696
ENSMUSG00000000869	Il4	0.289688	0.205323	0	0	0	0.115507	0.0706665	0.467105	0.280355	0.205793	0.178797
ENSMUSG00000000876	Pxmp4	10.9353	4.51754	3.28178	3.07338	5.97081	4.74356	5.70634	8.25956	7.27962	6.93476	5.64956
ENSMUSG00000000881	Dlg3	16.8115	4.54828	4.07248	3.0299	3.40366	4.51552	4.43906	6.79197	6.99895	7.41283	6.68736
ENSMUSG00000000884	Gnb1l	2.53476	12.1445	11.683	12.7963	21.9403	12.287	12.0622	6.40802	6.80761	6.68849	5.65906
ENSMUSG00000000889	Dbh	0.110377	0	0	0.00887447	0	0.0179374	0	0.0181177	0.0217189	0	0
ENSMUSG00000000901	Mmp11	29.8309	7.66117	4.94529	2.24599	3.25996	3.00829	4.85553	14.0219	18.1697	23.2942	24.2238
ENSMUSG00000000902	Smarcb1	37.285	70.2232	65.2521	64.7769	27.7207	61.5466	54.8905	65.0597	72.408	65.2002	80.4207
ENSMUSG00000000903	Vpreb3	0.118374	1.08741	0.940032	0.94739	1.30778	2.21342	1.9182	1.76728	1.43946	3.47362	3.08802
ENSMUSG00000000915	Hip1r	1.34876	5.51328	6.48588	6.48501	4.3702	5.47702	5.64042	10.9949	7.91398	2.21706	1.6603
ENSMUSG00000000916	Nsun5	7.77595	29.0015	22.4259	26.4767	15.6907	20.1081	17.9659	13.9846	15.7771	14.4748	13.429
ENSMUSG00000000934	Top1mt	5.09257	17.7333	13.2798	13.6726	11.1809	8.22407	8.30963	4.40274	3.59853	4.52126	5.88896
ENSMUSG00000000938	Hoxa10	8.9675	3.16845	3.66963	3.96322	3.51657	3.86787	2.25847	1.01814	0.470563	0.786477	0.273119
ENSMUSG00000000942	Hoxa4	1.37124	1.21198	0.975624	0.994993	0.66925	0.315166	0.58592	0.227408	0.109062	0.413629	0.264268
ENSMUSG00000000948	Snrpn	13.9181	22.199	35.5041	45.1056	57.952	52.772	50.0122	57.498	49.001	19.9286	38.7101
ENSMUSG00000000957	Mmp14	208.223	45.9558	22.7147	11.0179	4.46249	2.42063	1.73898	3.10288	3.91145	8.90701	6.08003
ENSMUSG00000000958	Slc7a7	4.29099	2.90193	2.62316	2.5271	0.957061	5.44285	5.60533	11.6703	14.0631	15.3105	58.1159
ENSMUSG00000000959	Oxa1l	35.3903	33.7125	37.3954	39.6189	30.6635	37.2955	33.7219	35.6436	43.3251	36.6285	46.2542
ENSMUSG00000000976	Heatr6	6.64495	7.86837	8.33387	8.90754	5.95146	7.52363	8.05739	6.44434	6.09607	6.5232	4.26824
ENSMUSG00000000982	Ccl3	9.80171	3.31614	0.675661	0.071061	0.0726159	0	0	0.0362833	0.174111	0.0958545	0.519701
ENSMUSG00000000983	Wfdc18	1.26325	0.217085	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014	Icam4	0.149542	0.131913	0.33874	0.41939	0.494634	0.686029	0.689022	0.478161	0.771724	0.365684	0.112032
ENSMUSG00000001016	Ilf2	38.16	114.911	121.263	137.742	82.7062	107.496	100.189	95.7005	95.6709	97.8349	166.148
ENSMUSG00000001017	Chtop	37.1583	74.0225	74.4119	79.9313	63.4152	74.1487	71.6806	74.1117	77.4014	88.442	94.391
ENSMUSG00000001018	Snapin	41.7532	14.868	14.2495	14.0225	11.0541	18.158	21.7319	30.4605	26.1986	22.7322	30.6558
ENSMUSG00000001020	S100a4	145.117	569.411	265.371	79.751	14.3957	3.98635	5.28015	4.29503	8.33018	0.69883	17.556
ENSMUSG00000001021	S100a3	0.122118	10.2419	12.9278	2.26662	1.31733	1.89549	2.21991	0.638555	0.287298	0.105445	0
ENSMUSG00000001023	S100a5	0.176766	0.302538	0	0.0842398	0	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	1245.36	3166.33	2424.48	1179.97	747.725	651.767	569.243	179.582	103.379	23.4388	62.0765
ENSMUSG00000001027	Scn4a	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001027	Scn4a	0.0102123	0.00294708	0	0.00657473	0	0	0.0040501	0.00335538	0.00804338	0.0974205	0.0172239
ENSMUSG00000001029	Icam2	0.465191	0.151379	0.108419	0.0640903	0	0.0601032	0.142104	0.112304	0.196536	0.957813	0.318479
ENSMUSG00000001034	Mapk7	19.0363	13.1008	11.8461	14.0196	6.39641	14.8728	14.0051	17.8909	22.1108	18.1273	10.2912
ENSMUSG00000001036	Epn2	15.7054	12.9524	13.9036	12.55	22.6388	26.2044	29.6503	21.4203	19.9208	14.2174	11.6452
ENSMUSG00000001039	B9d1	9.57628	13.5247	16.7358	16.9845	16.3501	23.0991	21.1692	31.9581	38.171	42.6403	44.0689
ENSMUSG00000001052	Sec24b	35.6406	39.8088	38.5352	41.2729	26.2342	43.7846	40.5914	30.0488	21.0715	25.9208	9.81046
ENSMUSG00000001053	N4bp3	1.07154	2.44063	5.97895	8.40671	4.60831	14.5653	10.4581	8.72749	14.501	20.4894	8.05612
ENSMUSG00000001054	Rmnd5b	9.43566	13.4242	14.9802	17.4038	11.4559	27.6712	29.2276	25.8423	35.3048	32.1736	45.6242
ENSMUSG00000001056	Nhp2	19.5624	371	304.378	356.432	270.988	290.819	254.989	135.412	155.898	193.219	254.678
ENSMUSG00000001076	C1ql4	0.031274	0	0	0	0.184472	0.0303855	0.11133	0.061407	0.0368283	0.21627	0
ENSMUSG00000001082	Mfsd10	38.9453	55.4169	46.6254	53.8503	38.8872	64.8105	60.7152	54.752	73.5099	70.213	40.175
ENSMUSG00000001089	Luzp1	14.5168	11.3977	12.8372	11.6898	21.5612	17.6926	18.9553	15.8353	12.6738	14.8388	11.2398
ENSMUSG00000001095	Slc13a2	0.0195473	0	0	0	0	0.00952905	0.0232426	0.115499	0.0576913	0.0737429	0.0493744
ENSMUSG00000001098	Kctd10	97.3909	31.7957	27.3319	19.6346	23.9048	16.7641	14.8509	13.6339	12.3251	13.3922	8.05526
ENSMUSG00000001100	Poldip2	36.8208	100.621	108.645	102.76	69.2057	101.006	79.5182	54.198	56.655	56.5873	64.237
ENSMUSG00000001103	Sebox	0	0	0	0	0	0	0	0	0	0.0336397	0.0391709
ENSMUSG00000001105	Ift20	55.6822	57.4884	41.2769	39.9084	20.0417	30.9579	34.6358	46.5567	43.6122	40.3362	51.7546
ENSMUSG00000001119	Col6a1	328.89	68.4028	27.3926	10.9529	5.067	1.25001	1.28549	1.23504	1.16128	0.198017	1.28738
ENSMUSG00000001120	Pcbp3	4.70601	2.53026	1.28353	0.849944	1.7844	0.990524	2.33745	2.69456	2.63606	5.59617	7.15723
ENSMUSG00000001123	Lgals9	77.322	90.2986	29.7933	8.35333	4.94524	1.60228	2.18268	19.3527	19.9871	3.11172	7.11152
ENSMUSG00000001127	Araf	47.8853	36.4392	32.0652	28.6126	41.3463	34.6107	35.6321	46.5114	44.0212	42.9364	31.0639
ENSMUSG00000001128	Cfp	22.887	24.3965	6.30237	2.96717	1.33898	4.4315	4.61372	4.04406	8.87389	8.13066	2.99217
ENSMUSG00000001131	Timp1	181.064	1136.26	277.734	161.987	136.061	125.677	103.566	64.5669	41.3289	39.7312	47.4192
ENSMUSG00000001134	Uxt	0.691362	2.90299	2.55145	3.30636	2.80748	2.82826	2.27315	2.92011	3.01019	2.67745	2.00964
ENSMUSG00000001138	Cnnm3	5.89235	5.18039	5.83767	4.69817	1.60327	6.31294	3.97613	7.64285	8.41391	12.8007	5.21127
